"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"A1","VDDUSB","Power","","","","","","","","","","","","","","","","","",""
"A2","PA15 (JTDI)","I/O","","","SYS_JTDI","TIM2_CH1","TIM2_ETR","","","SPI1_NSS","SPI3_NSS","","UART4_DE/UART4_RTS","TSC_G3_IO1","","LCD_SEG17","","SAI2_FS_B","","EVENTOUT"
"A3","PD2","I/O","","","","","TIM3_ETR","","","","","USART3_DE/USART3_RTS","UART5_RX","TSC_SYNC","","LCD_COM7/LCD_SEG31/LCD_SEG43","SDMMC1_CMD","","","EVENTOUT"
"A4","PG9","I/O","","","","","","","","","SPI3_SCK","USART1_TX","","","","","","SAI2_SCK_A","TIM15_CH1N","EVENTOUT"
"A5","PG14","I/O","","","","","","","I2C1_SCL","","","","","","","","","","","EVENTOUT"
"A6","PB3 (JTDO-TRACESWO)","I/O","","","SYS_JTDO-SWO","TIM2_CH2","","","","SPI1_SCK","SPI3_SCK","USART1_DE/USART1_RTS","","","","LCD_SEG7","","SAI1_SCK_B","","EVENTOUT"
"A7","PB7","I/O","","","","LPTIM1_IN2","TIM4_CH2","TIM8_BKIN","I2C1_SDA","","DFSDM1_CKIN5","USART1_RX","UART4_CTS","TSC_G2_IO4","","LCD_SEG21","","TIM8_BKIN_COMP1","TIM17_CH1N","EVENTOUT"
"A8","VSS","Power","","","","","","","","","","","","","","","","","",""
"A9","VDD","Power","","","","","","","","","","","","","","","","","",""
"B1","VSS","Power","","","","","","","","","","","","","","","","","",""
"B2","PA14 (JTCK-SWCLK)","I/O","","","SYS_JTCK-SWCLK","","","","","","","","","","","","","","","EVENTOUT"
"B3","PC12","I/O","","","","","","","","","SPI3_MOSI","USART3_CK","UART5_TX","TSC_G3_IO4","","LCD_COM6/LCD_SEG30/LCD_SEG42","SDMMC1_CK","SAI2_SD_B","","EVENTOUT"
"B4","PG10","I/O","","","","LPTIM1_IN1","","","","","SPI3_MISO","USART1_RX","","","","","","SAI2_FS_A","TIM15_CH1","EVENTOUT"
"B5","PG13","I/O","","","","","","","I2C1_SDA","","","USART1_CK","","","","","","","","EVENTOUT"
"B6","VDDIO2","Power","","","","","","","","","","","","","","","","","",""
"B7","PB6","I/O","","","","LPTIM1_ETR","TIM4_CH1","TIM8_BKIN2","I2C1_SCL","","DFSDM1_DATIN5","USART1_TX","","TSC_G2_IO3","","","TIM8_BKIN2_COMP2","SAI1_FS_B","TIM16_CH1N","EVENTOUT"
"B8","PC13","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"B9","VBAT","Power","","","","","","","","","","","","","","","","","",""
"C1","PA12","I/O","","","","TIM1_ETR","","","","","","USART1_DE/USART1_RTS","","CAN1_TX","USB_OTG_FS_DP","","","","","EVENTOUT"
"C2","PA13 (JTMS-SWDIO)","I/O","","","SYS_JTMS-SWDIO","IR_OUT","","","","","","","","","USB_OTG_FS_NOE","","","","","EVENTOUT"
"C3","PC11","I/O","","","","","","","","","SPI3_MISO","USART3_RX","UART4_RX","TSC_G3_IO3","","LCD_COM5/LCD_SEG29/LCD_SEG41","SDMMC1_D3","SAI2_MCLK_B","","EVENTOUT"
"C4","PG11","I/O","","","","LPTIM1_IN2","","","","","SPI3_MOSI","USART1_CTS","","","","","","SAI2_MCLK_A","TIM15_CH2","EVENTOUT"
"C5","PG12","I/O","","","","LPTIM1_ETR","","","","","SPI3_NSS","USART1_DE/USART1_RTS","","","","","","SAI2_SD_A","","EVENTOUT"
"C6","PB4 (NJTRST)","I/O","","","SYS_JTRST","","TIM3_CH1","","","SPI1_MISO","SPI3_MISO","USART1_CTS","UART5_DE/UART5_RTS","TSC_G2_IO1","","LCD_SEG8","","SAI1_MCLK_B","TIM17_BKIN","EVENTOUT"
"C7","PB5","I/O","","","","LPTIM1_IN1","TIM3_CH2","","I2C1_SMBA","SPI1_MOSI","SPI3_MOSI","USART1_CK","UART5_CTS","TSC_G2_IO2","","LCD_SEG9","COMP2_OUT","SAI1_SD_B","TIM16_BKIN","EVENTOUT"
"C8","PC15-OSC32_OUT (PC15)","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"C9","PC14-OSC32_IN (PC14)","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"D1","PA11","I/O","","","","TIM1_CH4","TIM1_BKIN2","","","","","USART1_CTS","","CAN1_RX","USB_OTG_FS_DM","","TIM1_BKIN2_COMP1","","","EVENTOUT"
"D2","PA10","I/O","","","","TIM1_CH3","","","","","","USART1_RX","","","USB_OTG_FS_ID","LCD_COM2","","","TIM17_BKIN","EVENTOUT"
"D3","PC10","I/O","","","","","","","","","SPI3_SCK","USART3_TX","UART4_TX","TSC_G3_IO2","","LCD_COM4/LCD_SEG28/LCD_SEG40","SDMMC1_D2","SAI2_SCK_B","","EVENTOUT"
"D4","PD5","I/O","","","","","","","","","","USART2_TX","","","","","","","","EVENTOUT"
