"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"1","PE2","I/O","","","SYS_TRACECLK","","TIM3_ETR","","","","","","","TSC_G7_IO1","","LCD_SEG38","FMC_A23","SAI1_MCLK_A","","EVENTOUT"
"2","PE3","I/O","","","SYS_TRACED0","","TIM3_CH1","","","","","","","TSC_G7_IO2","","LCD_SEG39","FMC_A19","SAI1_SD_B","","EVENTOUT"
"3","PE4","I/O","","","SYS_TRACED1","","TIM3_CH2","","","","DFSDM1_DATIN3","","","TSC_G7_IO3","","","FMC_A20","SAI1_FS_A","","EVENTOUT"
"4","PE5","I/O","","","SYS_TRACED2","","TIM3_CH3","","","","DFSDM1_CKIN3","","","TSC_G7_IO4","","","FMC_A21","SAI1_SCK_A","","EVENTOUT"
"5","PE6","I/O","","","SYS_TRACED3","","TIM3_CH4","","","","","","","","","","FMC_A22","SAI1_SD_A","","EVENTOUT"
"6","VBAT","Power","","","","","","","","","","","","","","","","","",""
"7","PC13","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"8","PC14-OSC32_IN (PC14)","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"9","PC15-OSC32_OUT (PC15)","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"10","VSS","Power","","","","","","","","","","","","","","","","","",""
"11","VDD","Power","","","","","","","","","","","","","","","","","",""
"12","PH0-OSC_IN (PH0)","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"13","PH1-OSC_OUT (PH1)","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"14","NRST","Reset","","","","","","","","","","","","","","","","","",""
"15","PC0","I/O","","","","LPTIM1_IN1","","","I2C3_SCL","","DFSDM1_DATIN4","","LPUART1_RX","","","LCD_SEG18","","","LPTIM2_IN1","EVENTOUT"
"16","PC1","I/O","","","","LPTIM1_OUT","","","I2C3_SDA","","DFSDM1_CKIN4","","LPUART1_TX","","","LCD_SEG19","","","","EVENTOUT"
"17","PC2","I/O","","","","LPTIM1_IN2","","","","SPI2_MISO","DFSDM1_CKOUT","","","","","LCD_SEG20","","","","EVENTOUT"
"18","PC3","I/O","","","","LPTIM1_ETR","","","","SPI2_MOSI","","","","","","LCD_VLCD","","SAI1_SD_A","LPTIM2_ETR","EVENTOUT"
"19","VSSA","Power","","","","","","","","","","","","","","","","","",""
"20","VREF-","Power","","","","","","","","","","","","","","","","","",""
"21","VREF+","MonoIO","","","","","","","","","","","","","","","","","",""
"22","VDDA","Power","","","","","","","","","","","","","","","","","",""
"23","PA0","I/O","","","","TIM2_CH1","TIM5_CH1","TIM8_ETR","","","","USART2_CTS","UART4_TX","","","","","SAI1_EXTCLK","TIM2_ETR","EVENTOUT"
"24","PA1","I/O","","","","TIM2_CH2","TIM5_CH2","","","","","USART2_DE/USART2_RTS","UART4_RX","","","LCD_SEG0","","","TIM15_CH1N","EVENTOUT"
"25","PA2","I/O","","","","TIM2_CH3","TIM5_CH3","","","","","USART2_TX","","","","LCD_SEG1","","SAI2_EXTCLK","TIM15_CH1","EVENTOUT"
"26","PA3","I/O","","","","TIM2_CH4","TIM5_CH4","","","","","USART2_RX","","","","LCD_SEG2","","","TIM15_CH2","EVENTOUT"
"27","VSS","Power","","","","","","","","","","","","","","","","","",""
"28","VDD","Power","","","","","","","","","","","","","","","","","",""
"29","PA4","I/O","","","","","","","","SPI1_NSS","SPI3_NSS","USART2_CK","","","","","","SAI1_FS_B","LPTIM2_OUT","EVENTOUT"
"30","PA5","I/O","","","","TIM2_CH1","TIM2_ETR","TIM8_CH1N","","SPI1_SCK","","","","","","","","","LPTIM2_ETR","EVENTOUT"
"31","PA6","I/O","","","","TIM1_BKIN","TIM3_CH1","TIM8_BKIN","","SPI1_MISO","","USART3_CTS","","","QUADSPI_BK1_IO3","LCD_SEG3","TIM1_BKIN_COMP2","TIM8_BKIN_COMP2","TIM16_CH1","EVENTOUT"
"32","PA7","I/O","","","","TIM1_CH1N","TIM3_CH2","TIM8_CH1N","","SPI1_MOSI","","","","","QUADSPI_BK1_IO2","LCD_SEG4","","","TIM17_CH1","EVENTOUT"
"33","PC4","I/O","","","","","","","","","","USART3_TX","","","","LCD_SEG22","","","","EVENTOUT"
"34","PC5","I/O","","","","","","","","","","USART3_RX","","","","LCD_SEG23","","","","EVENTOUT"
"35","PB0","I/O","","","","TIM1_CH2N","TIM3_CH3","TIM8_CH2N","","","","USART3_CK","","","QUADSPI_BK1_IO1","LCD_SEG5","COMP1_OUT","","","EVENTOUT"
"36","PB1","I/O","","","","TIM1_CH3N","TIM3_CH4","TIM8_CH3N","","","DFSDM1_DATIN0","USART3_DE/USART3_RTS","","","QUADSPI_BK1_IO0","LCD_SEG6","","","LPTIM2_IN1","EVENTOUT"
"37","PB2","I/O","","","RTC_OUT_ALARM/RTC_OUT_CALIB","LPTIM1_OUT","","","I2C3_SMBA","","DFSDM1_CKIN0","","","","","","","","","EVENTOUT"
"38","PE7","I/O","","","","TIM1_ETR","","","","","DFSDM1_DATIN2","","","","","","FMC_D4/FMC_DA4","SAI1_SD_B","","EVENTOUT"
"39","PE8","I/O","","","","TIM1_CH1N","","","","","DFSDM1_CKIN2","","","","","","FMC_D5/FMC_DA5","SAI1_SCK_B","","EVENTOUT"
"40","PE9","I/O","","","","TIM1_CH1","","","","","DFSDM1_CKOUT","","","","","","FMC_D6/FMC_DA6","SAI1_FS_B","","EVENTOUT"
"41","PE10","I/O","","","","TIM1_CH2N","","","","","DFSDM1_DATIN4","","","TSC_G5_IO1","QUADSPI_CLK","","FMC_D7/FMC_DA7","SAI1_MCLK_B","","EVENTOUT"
"42","PE11","I/O","","","","TIM1_CH2","","","","","DFSDM1_CKIN4","","","TSC_G5_IO2","QUADSPI_NCS","","FMC_D8/FMC_DA8","","","EVENTOUT"
"43","PE12","I/O","","","","TIM1_CH3N","","","","SPI1_NSS","DFSDM1_DATIN5","","","TSC_G5_IO3","QUADSPI_BK1_IO0","","FMC_D9/FMC_DA9","","","EVENTOUT"
"44","PE13","I/O","","","","TIM1_CH3","","","","SPI1_SCK","DFSDM1_CKIN5","","","TSC_G5_IO4","QUADSPI_BK1_IO1","","FMC_D10/FMC_DA10","","","EVENTOUT"
"45","PE14","I/O","","","","TIM1_CH4","TIM1_BKIN2","TIM1_BKIN2_COMP2","","SPI1_MISO","","","","","QUADSPI_BK1_IO2","","FMC_D11/FMC_DA11","","","EVENTOUT"
"46","PE15","I/O","","","","TIM1_BKIN","","TIM1_BKIN_COMP1","","SPI1_MOSI","","","","","QUADSPI_BK1_IO3","","FMC_D12/FMC_DA12","","","EVENTOUT"
