"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"A1","PI10","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"A2","PH2","I/O","","","","","","QUADSPI_BK2_IO0","","","","","","","","","","","","EVENTOUT"
"A3","VDD","Power","","","","","","","","","","","","","","","","","",""
"A4","PE0","I/O","","","","","TIM4_ETR","","","","","","","","DCMI_D2","LCD_SEG36","FMC_NBL0","","TIM16_CH1","EVENTOUT"
"A5","PB4 (NJTRST)","I/O","","","SYS_JTRST","","TIM3_CH1","","I2C3_SDA","SPI1_MISO","SPI3_MISO","USART1_CTS","UART5_DE/UART5_RTS","TSC_G2_IO1","DCMI_D12","LCD_SEG8","","SAI1_MCLK_B","TIM17_BKIN","EVENTOUT"
"A6","PB3 (JTDO/TRACESWO)","I/O","","","SYS_JTDO-SWO","TIM2_CH2","","","","SPI1_SCK","SPI3_SCK","USART1_DE/USART1_RTS","","","CRS_SYNC","LCD_SEG7","","SAI1_SCK_B","","EVENTOUT"
"A7","VSS","Power","","","","","","","","","","","","","","","","","",""
"A8","VDD","Power","","","","","","","","","","","","","","","","","",""
"A9","PA15 (JTDI)","I/O","","","SYS_JTDI","TIM2_CH1","TIM2_ETR","USART2_RX","","SPI1_NSS","SPI3_NSS","USART3_DE/USART3_RTS","UART4_DE/UART4_RTS","TSC_G3_IO1","","LCD_SEG17","SWPMI1_SUSPEND","SAI2_FS_B","","EVENTOUT"
"A10","PA14 (JTCK/SWCLK)","I/O","","","SYS_JTCK-SWCLK","LPTIM1_OUT","","","I2C1_SMBA","I2C4_SMBA","","","","","USB_OTG_FS_SOF","","SWPMI1_RX","SAI1_FS_B","","EVENTOUT"
"A11","PA13 (JTMS/SWDIO)","I/O","","","SYS_JTMS-SWDIO","IR_OUT","","","","","","","","","USB_OTG_FS_NOE","","SWPMI1_TX","SAI1_SD_B","","EVENTOUT"
"A12","PI0","I/O","","","","","TIM5_CH4","","","SPI2_NSS","","","","","DCMI_D13","","","","","EVENTOUT"
"A13","PH14","I/O","","","","","","TIM8_CH2N","","","","","","","DCMI_D4","","","","","EVENTOUT"
"B1","PI9","I/O","","","","","","","","","","","","CAN1_RX","","","","","","EVENTOUT"
"B2","PI7","I/O","","","","","","TIM8_CH3","","","","","","","DCMI_D7","","","","","EVENTOUT"
"B3","VSS","Power","","","","","","","","","","","","","","","","","",""
"B4","PE1","I/O","","","","","","","","","","","","","DCMI_D3","LCD_SEG37","FMC_NBL1","","TIM17_CH1","EVENTOUT"
"B5","PB5","I/O","","","","LPTIM1_IN1","TIM3_CH2","CAN2_RX","I2C1_SMBA","SPI1_MOSI","SPI3_MOSI","USART1_CK","UART5_CTS","TSC_G2_IO2","DCMI_D10","LCD_SEG9","COMP2_OUT","SAI1_SD_B","TIM16_BKIN","EVENTOUT"
"B6","VDDIO2","Power","","","","","","","","","","","","","","","","","",""
"B7","PG9","I/O","","","","","","","","","SPI3_SCK","USART1_TX","","","","","FMC_NCE/FMC_NE2","SAI2_SCK_A","TIM15_CH1N","EVENTOUT"
"B8","PD0","I/O","","","","","","","","SPI2_NSS","DFSDM1_DATIN7","","","CAN1_RX","","","FMC_D2/FMC_DA2","","","EVENTOUT"
"B9","PI6","I/O","","","","","","TIM8_CH2","","","","","","","DCMI_D6","","","","","EVENTOUT"
"B10","PI2","I/O","","","","","","TIM8_CH4","","SPI2_MISO","","","","","DCMI_D9","","","","","EVENTOUT"
"B11","PI1","I/O","","","","","","","","SPI2_SCK","","","","","DCMI_D8","","","","","EVENTOUT"
"B12","PH15","I/O","","","","","","TIM8_CH3N","","","","","","","DCMI_D11","","","","","EVENTOUT"
"B13","PH12","I/O","","","","","TIM5_CH3","","","","","","","","DCMI_D3","","","","","EVENTOUT"
"C1","VDD","Power","","","","","","","","","","","","","","","","","",""
"C2","VSS","Power","","","","","","","","","","","","","","","","","",""
"C3","PI11","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"C4","PB8","I/O","","","","","TIM4_CH3","","I2C1_SCL","","DFSDM1_DATIN6","","","CAN1_RX","DCMI_D6","LCD_SEG16","SDMMC1_D4","SAI1_MCLK_A","TIM16_CH1","EVENTOUT"
"C5","PB6","I/O","","","","LPTIM1_ETR","TIM4_CH1","TIM8_BKIN2","I2C1_SCL","I2C4_SCL","DFSDM1_DATIN5","USART1_TX","CAN2_TX","TSC_G2_IO3","DCMI_D5","","TIM8_BKIN2_COMP2","SAI1_FS_B","TIM16_CH1N","EVENTOUT"
"C6","VDD12","Power","","","","","","","","","","","","","","","","","",""
"C7","PD4","I/O","","","","","","","","SPI2_MOSI","DFSDM1_CKIN0","USART2_DE/USART2_RTS","","","QUADSPI_BK2_IO0","","FMC_NOE","","","EVENTOUT"
"C8","PD1","I/O","","","","","","","","SPI2_SCK","DFSDM1_CKIN7","","","CAN1_TX","","","FMC_D3/FMC_DA3","","","EVENTOUT"
"C9","PH13","I/O","","","","","","TIM8_CH1N","","","","","","CAN1_TX","","","","","","EVENTOUT"
"C10","PI3","I/O","","","","","","TIM8_ETR","","SPI2_MOSI","","","","","DCMI_D10","","","","","EVENTOUT"
"C11","PI8","I/O","","","","","","","","","","","","","DCMI_D12","","","","","EVENTOUT"
"C12","VSS","Power","","","","","","","","","","","","","","","","","",""
"C13","VDD","Power","","","","","","","","","","","","","","","","","",""
"D1","PE4","I/O","","","SYS_TRACED1","","TIM3_CH2","","","","DFSDM1_DATIN3","","","TSC_G7_IO3","DCMI_D4","","FMC_A20","SAI1_FS_A","","EVENTOUT"
"D2","PE3","I/O","","","SYS_TRACED0","","TIM3_CH1","","","","","","","TSC_G7_IO2","","LCD_SEG39","FMC_A19","SAI1_SD_B","","EVENTOUT"
"D3","PE2","I/O","","","SYS_TRACECLK","","TIM3_ETR","","","","","","","TSC_G7_IO1","","LCD_SEG38","FMC_A23","SAI1_MCLK_A","","EVENTOUT"
"D4","PB9","I/O","","","","IR_OUT","TIM4_CH4","","I2C1_SDA","SPI2_NSS","DFSDM1_CKIN6","","","CAN1_TX","DCMI_D7","LCD_COM3","SDMMC1_D5","SAI1_FS_A","TIM17_CH1","EVENTOUT"
"D5","PB7","I/O","","","","LPTIM1_IN2","TIM4_CH2","TIM8_BKIN","I2C1_SDA","I2C4_SDA","DFSDM1_CKIN5","USART1_RX","UART4_CTS","TSC_G2_IO4","DCMI_VSYNC","LCD_SEG21","FMC_NL","TIM8_BKIN_COMP1","TIM17_CH1N","EVENTOUT"
"D6","PG10","I/O","","","","LPTIM1_IN1","","","","","SPI3_MISO","USART1_RX","","","","","FMC_NE3","SAI2_FS_A","TIM15_CH1","EVENTOUT"
"D7","PD5","I/O","","","","","","","","","","USART2_TX","","","QUADSPI_BK2_IO1","","FMC_NWE","","","EVENTOUT"
"D8","PD2","I/O","","","SYS_TRACED2","","TIM3_ETR","","","","","USART3_DE/USART3_RTS","UART5_RX","TSC_SYNC","DCMI_D11","LCD_COM7/LCD_SEG31/LCD_SEG43","SDMMC1_CMD","","","EVENTOUT"
"D9","PC10","I/O","","","SYS_TRACED1","","","","","","SPI3_SCK","USART3_TX","UART4_TX","TSC_G3_IO2","DCMI_D8","LCD_COM4/LCD_SEG28/LCD_SEG40","SDMMC1_D2","SAI2_SCK_B","","EVENTOUT"
"D10","PI4","I/O","","","","","","TIM8_BKIN","","","","","","","DCMI_D5","","","","","EVENTOUT"
"D11","PH9","I/O","","","","","","","I2C3_SMBA","","","","","","DCMI_D0","","","","","EVENTOUT"
"D12","PH7","I/O","","","","","","","I2C3_SCL","","","","","","DCMI_D9","","","","","EVENTOUT"
"D13","PA12","I/O","","","","TIM1_ETR","","","","SPI1_MOSI","","USART1_DE/USART1_RTS","","CAN1_TX","USB_OTG_FS_DP","","","","","EVENTOUT"
"E1","PC13","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"E2","VBAT","Power","","","","","","","","","","","","","","","","","",""
"E3","PE6","I/O","","","SYS_TRACED3","","TIM3_CH4","","","","","","","","DCMI_D7","","FMC_A22","SAI1_SD_A","","EVENTOUT"
