"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"A1","VSS","Power","","","","","","","","","","","","","","","","","",""
"A2","PA14 (JTCK/SWCLK)","I/O","","","SYS_JTCK-SWCLK","LPTIM1_OUT","","","I2C1_SMBA","I2C4_SMBA","","","","","USB_OTG_FS_SOF","","","SAI1_FS_B","","EVENTOUT"
"A3","PA15 (JTDI)","I/O","","","SYS_JTDI","TIM2_CH1","TIM2_ETR","USART2_RX","","SPI1_NSS","SPI3_NSS","USART3_DE/USART3_RTS","UART4_DE/UART4_RTS","TSC_G3_IO1","","","","SAI2_FS_B","","EVENTOUT"
"A4","PD0","I/O","","","","","","","","SPI2_NSS","DFSDM1_DATIN7","","","CAN1_RX","","","FMC_D2/FMC_DA2","","","EVENTOUT"
"A5","PD5","I/O","","","","","","","","","","USART2_TX","","","OCTOSPIM_P1_IO5","","FMC_NWE","","","EVENTOUT"
"A6","VDD","Power","","","","","","","","","","","","","","","","","",""
"A7","PG12","I/O","","","","LPTIM1_ETR","","","","OCTOSPIM_P2_NCS","SPI3_NSS","USART1_DE/USART1_RTS","","","","","FMC_NE4","SAI2_SD_A","","EVENTOUT"
"A8","VDDIO2","Power","","","","","","","","","","","","","","","","","",""
"A9","PB7","I/O","","","","LPTIM1_IN2","TIM4_CH2","","I2C1_SDA","I2C4_SDA","DFSDM1_CKIN5","USART1_RX","UART4_CTS","TSC_G2_IO4","DCMI_VSYNC","","FMC_NL","TIM8_BKIN","TIM17_CH1N","EVENTOUT"
"A10","PE0","I/O","","","","","TIM4_ETR","","","","","","","","DCMI_D2","","FMC_NBL0","","TIM16_CH1","EVENTOUT"
"A11","PE1","I/O","","","","","","","","","","","","","DCMI_D3","","FMC_NBL1","","TIM17_CH1","EVENTOUT"
"A12","VSS","Power","","","","","","","","","","","","","","","","","",""
"B1","VDD","Power","","","","","","","","","","","","","","","","","",""
"B2","VDDUSB","Power","","","","","","","","","","","","","","","","","",""
"B3","PA13 (JTMS/SWDIO)","I/O","","","SYS_JTMS-SWDIO","IR_OUT","","","","","","","","","USB_OTG_FS_NOE","","","SAI1_SD_B","","EVENTOUT"
"B4","PC12","I/O","","","SYS_TRACED3","","","","","","SPI3_MOSI","USART3_CK","UART5_TX","TSC_G3_IO4","DCMI_D9","","SDMMC1_CK","SAI2_SD_B","","EVENTOUT"
"B5","PD2","I/O","","","SYS_TRACED2","","TIM3_ETR","","","","","USART3_DE/USART3_RTS","UART5_RX","TSC_SYNC","DCMI_D11","","SDMMC1_CMD","","","EVENTOUT"
"B6","VSS","Power","","","","","","","","","","","","","","","","","",""
"B7","PG10","I/O","","","","LPTIM1_IN1","","","","OCTOSPIM_P2_IO7","SPI3_MISO","USART1_RX","","","","","FMC_NE3","SAI2_FS_A","TIM15_CH1","EVENTOUT"
"B8","PB3 (JTDO/TRACESWO)","I/O","","","SYS_JTDO-SWO","TIM2_CH2","","","","SPI1_SCK","SPI3_SCK","USART1_DE/USART1_RTS","","","CRS_SYNC","","","SAI1_SCK_B","","EVENTOUT"
"B9","PH3-BOOT0","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"B10","PB9","I/O","","","","IR_OUT","TIM4_CH4","SAI1_D2","I2C1_SDA","SPI2_NSS","DFSDM1_CKIN6","","SDMMC1_CDIR","CAN1_TX","DCMI_D7","","SDMMC1_D5","SAI1_FS_A","TIM17_CH1","EVENTOUT"
"B11","PE2","I/O","","","SYS_TRACECLK","","TIM3_ETR","SAI1_CK1","","","","","","TSC_G7_IO1","","","FMC_A23","SAI1_MCLK_A","","EVENTOUT"
"B12","VDD","Power","","","","","","","","","","","","","","","","","",""
"C1","PA11","I/O","","","","TIM1_CH4","","","","SPI1_MISO","","USART1_CTS/USART1_NSS","","CAN1_RX","USB_OTG_FS_DM","","TIM1_BKIN2","","","EVENTOUT"
"C2","PA12","I/O","","","","TIM1_ETR","","","","SPI1_MOSI","","USART1_DE/USART1_RTS","","CAN1_TX","USB_OTG_FS_DP","","","","","EVENTOUT"
"C3","PC10","I/O","","","SYS_TRACED1","","","","","","SPI3_SCK","USART3_TX","UART4_TX","TSC_G3_IO2","DCMI_D8","","SDMMC1_D2","SAI2_SCK_B","","EVENTOUT"
"C4","PC11","I/O","","","","","","","DCMI_D2","OCTOSPIM_P1_NCS","SPI3_MISO","USART3_RX","UART4_RX","TSC_G3_IO3","DCMI_D4","","SDMMC1_D3","SAI2_MCLK_B","","EVENTOUT"
"C5","PD1","I/O","","","","","","","","SPI2_SCK","DFSDM1_CKIN7","","","CAN1_TX","","","FMC_D3/FMC_DA3","","","EVENTOUT"
"C6","PD4","I/O","","","","","","","","SPI2_MOSI","DFSDM1_CKIN0","USART2_DE/USART2_RTS","","","OCTOSPIM_P1_IO4","","FMC_NOE","","","EVENTOUT"
"C7","PG9","I/O","","","","","","","","OCTOSPIM_P2_IO6","SPI3_SCK","USART1_TX","","","","","FMC_NCE/FMC_NE2","SAI2_SCK_A","TIM15_CH1N","EVENTOUT"
"C8","PB4 (NJTRST)","I/O","","","SYS_JTRST","","TIM3_CH1","","I2C3_SDA","SPI1_MISO","SPI3_MISO","USART1_CTS/USART1_NSS","UART5_DE/UART5_RTS","TSC_G2_IO1","DCMI_D12","","","SAI1_MCLK_B","TIM17_BKIN","EVENTOUT"
"C9","PB6","I/O","","","","LPTIM1_ETR","TIM4_CH1","","I2C1_SCL","I2C4_SCL","DFSDM1_DATIN5","USART1_TX","","TSC_G2_IO3","DCMI_D5","","TIM8_BKIN2","SAI1_FS_B","TIM16_CH1N","EVENTOUT"
"C10","PB8","I/O","","","","","TIM4_CH3","SAI1_CK1","I2C1_SCL","DFSDM1_CKOUT","DFSDM1_DATIN6","","SDMMC1_CKIN","CAN1_RX","DCMI_D6","","SDMMC1_D4","SAI1_MCLK_A","TIM16_CH1","EVENTOUT"
