"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14"
"A1","VSS","Power","","","","","","","","","","","","","","","","",""
"A2","PH5","I/O","","","","","","","I2C2_SDA","SPI5_NSS","","","","","","","SAI4_SD_B","",""
"A3","PH4","I/O","","","","","","","I2C2_SCL","","","","","LTDC_G5","","","","","LTDC_G4"
"A4","PE13","I/O","","","HDP_HDP2","TIM1_CH3","","DFSDM1_CKIN5","","SPI4_MISO","","","","","SAI2_FS_B","","FMC_D10","DCMI_D6","LTDC_DE"
"A5","PK6","I/O","","","DEBUG_TRACED7","","HDP_HDP7","","","","","","","","","","","","LTDC_B7"
"A6","PK4","I/O","","","","","","","","","","","","","","","","","LTDC_B5"
"A7","PJ13","I/O","","","","","","","","","","","","LTDC_G4","","","","","LTDC_B1"
"A8","PD10","I/O","","","RTC_REFIN","TIM16_BKIN","","DFSDM1_CKOUT","I2C5_SMBA","I2S3_SDI/SPI3_MISO","SAI3_FS_B","USART3_CK","","","","","FMC_D15","","LTDC_B3"
"A9","PD5","I/O","","","","","","","","","","USART2_TX","","","SDMMC3_D2","","FMC_NWE","",""
"A10","PE3","I/O","","","DEBUG_TRACED0","","","","TIM15_BKIN","","SAI1_SD_B","","","SDMMC2_CK","","","","",""
"A11","PA9","I/O","","","","TIM1_CH2","","","I2C3_SMBA","I2S2_CK/SPI2_SCK","","USART1_TX","SDMMC2_CDIR","","SDMMC2_D5","","","DCMI_D0","LTDC_R5"
"A12","PB3","I/O","","","DEBUG_TRACED9","TIM2_CH2","","","SAI4_CK1","I2S1_CK/SPI1_SCK","I2S3_CK/SPI3_SCK","","SPI6_SCK","SDMMC2_D2","","","SAI4_MCLK_A","UART7_RX",""
"A13","PB14","I/O","","","","TIM1_CH2N","TIM12_CH1","TIM8_CH2N","USART1_TX","I2S2_SDI/SPI2_MISO","DFSDM1_DATIN2","USART3_DE/USART3_RTS","","SDMMC2_D0","","","","",""
"A14","VDD_Unused","Power","","","","","","","","","","","","","","","","",""
"A15","DNU","MonoIO","","","","","","","","","","","","","","","","",""
"A16","DNU","MonoIO","","","","","","","","","","","","","","","","",""
"A17","DNU","MonoIO","","","","","","","","","","","","","","","","",""
"A18","VDD1V2_Unused","Power","","","","","","","","","","","","","","","","",""
"A19","VSS","Power","","","","","","","","","","","","","","","","",""
"A20","DDR_DQ20","MonoIO","","","","","","","","","","","","","","","","",""
"A21","DDR_DQ23","MonoIO","","","","","","","","","","","","","","","","",""
"A22","VSS","Power","","","","","","","","","","","","","","","","",""
"B1","PH10","I/O","","","","","TIM5_CH1","","I2C4_SMBA","I2C1_SMBA","","","","","","","","DCMI_D1","LTDC_R4"
"B2","VSS","Power","","","","","","","","","","","","","","","","",""
"B3","PH11","I/O","","","","","TIM5_CH2","","I2C4_SCL","I2C1_SCL","","","","","","","","DCMI_D2","LTDC_R5"
"B4","PE14","I/O","","","","TIM1_CH4","","","","SPI4_MOSI","","","UART8_DE/UART8_RTS","","SAI2_MCLK_B","SDMMC1_D123DIR","FMC_D11","LTDC_G0","LTDC_CLK"
"B5","PK7","I/O","","","","","","","","","","","","","","","","","LTDC_DE"
"B6","PK3","I/O","","","","","","","","","","","","","","","","","LTDC_B4"
"B7","PJ14","I/O","","","","","","","","","","","","","","","","","LTDC_B2"
"B8","PJ12","I/O","","","","","","","","","","","","LTDC_G3","","","","","LTDC_B0"
"B9","PF1","I/O","","","","","","","I2C2_SCL","","","","","SDMMC3_CMD","SDMMC3_CDIR","","","",""
"B10","PD1","I/O","","","","","I2C6_SCL","DFSDM1_DATIN6","I2C5_SCL","","SAI3_SD_A","","UART4_TX","FDCAN1_TX","SDMMC3_D0","DFSDM1_CKIN7","FMC_D3","",""
"B11","PD3","I/O","","","HDP_HDP5","","","DFSDM1_CKOUT","","I2S2_CK/SPI2_SCK","DFSDM1_DATIN0","USART2_CTS/USART2_NSS","SDMMC1_D123DIR","SDMMC2_D7","SDMMC2_D123DIR","SDMMC1_D7","","DCMI_D5","LTDC_G7"
"B12","PB15","I/O","","","RTC_REFIN","TIM1_CH3N","TIM12_CH2","TIM8_CH3N","USART1_RX","I2S2_SDO/SPI2_MOSI","DFSDM1_CKIN2","","","SDMMC2_D1","","","","",""
"B13","PA8","I/O","","","RCC_MCO_1","TIM1_CH1","","TIM8_BKIN2","I2C3_SCL","I2S3_SDO/SPI3_MOSI","","USART1_CK","SDMMC2_CKIN","SDMMC2_D4","USB_OTG_HS_SOF","","SAI4_SD_B","UART7_RX","LTDC_R6"
"B14","VDDA1V8_Unused","Power","","","","","","","","","","","","","","","","",""
"B15","DNU","MonoIO","","","","","","","","","","","","","","","","",""
"B16","DNU","MonoIO","","","","","","","","","","","","","","","","",""
"B17","DNU","MonoIO","","","","","","","","","","","","","","","","",""
"B18","VDD1V2_Unused","Power","","","","","","","","","","","","","","","","",""
"B19","VSS","Power","","","","","","","","","","","","","","","","",""
"B20","DDR_DQ19","MonoIO","","","","","","","","","","","","","","","","",""
"B21","DDR_DQ16","MonoIO","","","","","","","","","","","","","","","","",""
"B22","DDR_DQS2N","MonoIO","","","","","","","","","","","","","","","","",""
"C1","PH15","I/O","","","","","","TIM8_CH3N","","","","","","","","","","DCMI_D11","LTDC_G4"
"C2","PH14","I/O","","","","","","TIM8_CH2N","","","","","UART4_RX","FDCAN1_RX","","","","DCMI_D4","LTDC_G3"
"C3","VSS","Power","","","","","","","","","","","","","","","","",""
"C4","PE15","I/O","","","HDP_HDP3","TIM1_BKIN","","","TIM15_BKIN","","","USART2_CTS/USART2_NSS","UART8_CTS","","FMC_NCE2","","FMC_D12","","LTDC_R7"
"C5","PE0","I/O","","","","LPTIM1_ETR","TIM4_ETR","","LPTIM2_ETR","I2S3_CK/SPI3_SCK","SAI4_MCLK_B","","UART8_RX","","SAI2_MCLK_A","","","DCMI_D2",""
"C6","PK5","I/O","","","DEBUG_TRACED6","","HDP_HDP6","","","","","","","","","","","","LTDC_B6"
"C7","PJ15","I/O","","","","","","","","","","","","","","","","","LTDC_B3"
"C8","VSS","Power","","","","","","","","","","","","","","","","",""
"C9","PD4","I/O","","","","","","","","","SAI3_FS_A","USART2_DE/USART2_RTS","","","SDMMC3_D1","DFSDM1_CKIN0","FMC_NOE","",""
"C10","PD0","I/O","","","","","I2C6_SDA","DFSDM1_CKIN6","I2C5_SDA","","SAI3_SCK_A","","UART4_RX","FDCAN1_RX","SDMMC3_CMD","DFSDM1_DATIN7","FMC_D2","",""
"C11","VSS","Power","","","","","","","","","","","","","","","","",""
"C12","PE5","I/O","","","DEBUG_TRACED3","","SAI1_CK2","DFSDM1_CKIN3","TIM15_CH1","SPI4_MISO","SAI1_SCK_A","SDMMC2_D0DIR","SDMMC1_D0DIR","SDMMC2_D6","","SDMMC1_D6","","DCMI_D6","LTDC_G0"
"C13","PB4","I/O","","","DEBUG_TRACED8","TIM16_BKIN","TIM3_CH1","","SAI4_CK2","I2S1_SDI/SPI1_MISO","I2S3_SDI/SPI3_MISO","I2S2_WS/SPI2_NSS","SPI6_MISO","SDMMC2_D3","","","SAI4_SCK_A","UART7_TX",""
"C14","VSS","Power","","","","","","","","","","","","","","","","",""
"C15","VSS","Power","","","","","","","","","","","","","","","","",""
"C16","VSS","Power","","","","","","","","","","","","","","","","",""
"C17","VSS","Power","","","","","","","","","","","","","","","","",""
"C18","VSS","Power","","","","","","","","","","","","","","","","",""
"C19","VSS","Power","","","","","","","","","","","","","","","","",""
"C20","VSS","Power","","","","","","","","","","","","","","","","",""
"C21","DDR_DQS2P","MonoIO","","","","","","","","","","","","","","","","",""
"C22","DDR_DQM2","MonoIO","","","","","","","","","","","","","","","","",""
"D1","PI0","I/O","","","","","TIM5_CH4","","","I2S2_WS/SPI2_NSS","","","","","","","","DCMI_D13","LTDC_G5"
"D2","PI14","I/O","","","DEBUG_TRACECLK","","","","","","","","","","","","","","LTDC_CLK"
"D3","PH13","I/O","","","","","","TIM8_CH1N","","","","","UART4_TX","FDCAN1_TX","","","","","LTDC_G2"
"D4","VSS","Power","","","","","","","","","","","","","","","","",""
"D5","PE11","I/O","","","","TIM1_CH2","","DFSDM1_CKIN4","","SPI4_NSS","","USART6_CK","","","SAI2_SD_B","","FMC_D8","DCMI_D4","LTDC_G3"
"D6","PH8","I/O","","","","","TIM5_ETR","","I2C3_SDA","","","","","","","","","DCMI_HSYNC","LTDC_R2"
"D7","PE1","I/O","","","","LPTIM1_IN2","","","","I2S2_MCK","SAI3_SD_B","","UART8_TX","","","","","DCMI_D3",""
"D8","PK0","I/O","","","","TIM1_CH1N","","TIM8_CH3","","SPI5_SCK","","","","","","","","","LTDC_G5"
"D9","PF5","I/O","","","","","","","","","","USART2_TX","","SDMMC3_D2","","","","",""
"D10","PG15","I/O","","","DEBUG_TRACED7","","SAI1_D2","","I2C2_SDA","","SAI1_FS_A","USART6_CTS/USART6_NSS","","","SDMMC3_CK","","","DCMI_D13",""
"D11","PG6","I/O","","","DEBUG_TRACED14","TIM17_BKIN","","","","","","","","","SDMMC2_CMD","","","DCMI_D12","LTDC_R7"
"D12","PD2","I/O","","","","","TIM3_ETR","","I2C5_SMBA","","UART4_RX","","UART5_RX","","","","SDMMC1_CMD","DCMI_D11",""
"D13","PC7","I/O","","","HDP_HDP4","","TIM3_CH2","TIM8_CH2","DFSDM1_DATIN3","","I2S3_MCK","USART6_RX","SDMMC1_D123DIR","SDMMC2_D123DIR","SDMMC2_D7","","SDMMC1_D7","DCMI_D1","LTDC_G6"
"D14","PC9","I/O","","","DEBUG_TRACED1","","TIM3_CH4","TIM8_CH4","I2C3_SDA","I2S_CKIN","","","UART5_CTS","QUADSPI_BK1_IO0","","","SDMMC1_D1","DCMI_D3","LTDC_B2"
"D15","PC11","I/O","","","DEBUG_TRACED3","","","DFSDM1_DATIN5","","","I2S3_SDI/SPI3_MISO","USART3_RX","UART4_RX","QUADSPI_BK2_NCS","SAI4_SCK_B","","SDMMC1_D3","DCMI_D4",""
"D16","JTDI","MonoIO","","","","","","","","","","","","","","","","",""
"D17","JTCK-SWCLK","MonoIO","","","","","","","","","","","","","","","","",""
"D18","VDD_PLL2","Power","","","","","","","","","","","","","","","","",""
"D19","VSS_PLL2","Power","","","","","","","","","","","","","","","","",""
"D20","DDR_DQ22","MonoIO","","","","","","","","","","","","","","","","",""
"D21","DDR_DQ17","MonoIO","","","","","","","","","","","","","","","","",""
"D22","DDR_DQ18","MonoIO","","","","","","","","","","","","","","","","",""
"E1","PI2","I/O","","","","","","TIM8_CH4","","I2S2_SDI/SPI2_MISO","","","","","","","","DCMI_D9","LTDC_G7"
"E2","PI1","I/O","","","","","","TIM8_BKIN2","","I2S2_CK/SPI2_SCK","","","","","","","","DCMI_D8","LTDC_G6"
"E3","PI3","I/O","","","","","","TIM8_ETR","","I2S2_SDO/SPI2_MOSI","","","","","","","","DCMI_D10",""
"E4","PE12","I/O","","","","TIM1_CH3N","","DFSDM1_DATIN5","","SPI4_SCK","","","SDMMC1_D0DIR","","SAI2_SCK_B","","FMC_D9","","LTDC_B4"
"E5","VSS","Power","","","","","","","","","","","","","","","","",""
"E6","PH9","I/O","","","","","TIM12_CH2","","I2C3_SMBA","","","","","","","","","DCMI_D0","LTDC_R3"
"E7","PK1","I/O","","","DEBUG_TRACED4","TIM1_CH1","HDP_HDP4","TIM8_CH3N","","SPI5_NSS","","","","","","","","","LTDC_G6"
"E8","PK2","I/O","","","DEBUG_TRACED5","TIM1_BKIN","HDP_HDP5","TIM8_BKIN","","","","","","","","","","","LTDC_G7"
"E9","PE6","I/O","","","DEBUG_TRACED2","TIM1_BKIN2","SAI1_D1","","TIM15_CH2","SPI4_MOSI","SAI1_SD_A","SDMMC2_D0","SDMMC1_D2","","SAI2_MCLK_B","","","DCMI_D7","LTDC_G1"
"E10","PF0","I/O","","","","","","","I2C2_SDA","","","","","SDMMC3_D0","SDMMC3_CKIN","","","",""
"E11","PA15","I/O","","","DEBUG_DBTRGI","TIM2_CH1/TIM2_ETR","SAI4_D2","SDMMC1_CDIR","CEC","I2S1_WS/SPI1_NSS","I2S3_WS/SPI3_NSS","SPI6_NSS","UART4_DE/UART4_RTS","SDMMC2_D5","SDMMC2_CDIR","SDMMC1_D5","SAI4_FS_A","UART7_TX","LTDC_R1"
"E12","PC12","I/O","","","DEBUG_TRACECLK","RCC_MCO_2","SAI4_D3","","","","I2S3_SDO/SPI3_MOSI","USART3_CK","UART5_TX","","SAI4_SD_B","","SDMMC1_CK","DCMI_D9",""
"E13","PC6","I/O","","","HDP_HDP1","","TIM3_CH1","TIM8_CH1","DFSDM1_CKIN3","I2S2_MCK","","USART6_TX","SDMMC1_D0DIR","SDMMC2_D0DIR","SDMMC2_D6","","SDMMC1_D6","DCMI_D0","LTDC_HSYNC"
"E14","PC8","I/O","","","DEBUG_TRACED0","","TIM3_CH3","TIM8_CH3","","","UART4_TX","USART6_CK","UART5_DE/UART5_RTS","","","","SDMMC1_D0","DCMI_D2",""
"E15","NJTRST","MonoIO","","","","","","","","","","","","","","","","",""
"E16","JTDO-TRACESWO","MonoIO","","","","","","","","","","","","","","","","",""
"E17","JTMS-SWDIO","MonoIO","","","","","","","","","","","","","","","","",""
"E18","VDDQ_DDR","Power","","","","","","","","","","","","","","","","",""
"E19","VSS","Power","","","","","","","","","","","","","","","","",""
"E20","DDR_DQ3","MonoIO","","","","","","","","","","","","","","","","",""
"E21","DDR_DQ0","MonoIO","","","","","","","","","","","","","","","","",""
"E22","DDR_DQ21","MonoIO","","","","","","","","","","","","","","","","",""
"F1","PI7","I/O","","","","","","TIM8_CH3","","","","","","","SAI2_FS_A","","","DCMI_D7","LTDC_B7"
"F2","PI5","I/O","","","","","","TIM8_CH1","","","","","","","SAI2_SCK_A","","","DCMI_VSYNC","LTDC_B5"
"F3","PI15","I/O","","","","","","","","","","","","LTDC_G2","","","","","LTDC_R0"
"F4","PZ3","I/O","","","","","I2C6_SDA","I2C2_SDA","I2C5_SDA","I2S1_WS/SPI1_NSS","I2C4_SDA","USART1_CTS/USART1_NSS","SPI6_NSS","","","","","",""
"F5","PH12","I/O","","","HDP_HDP2","","TIM5_CH3","","I2C4_SDA","I2C1_SDA","","","","","","","","DCMI_D3","LTDC_R6"
"F6","VSS","Power","","","","","","","","","","","","","","","","",""
"F7","VSS","Power","","","","","","","","","","","","","","","","",""
"F8","VSS","Power","","","","","","","","","","","","","","","","",""
"F9","PF4","I/O","","","","","","","","","","USART2_RX","","SDMMC3_D1","SDMMC3_D123DIR","","","",""
"F10","PD7","I/O","","","DEBUG_TRACED6","","","DFSDM1_DATIN4","I2C2_SCL","","DFSDM1_CKIN1","USART2_CK","","SPDIFRX_IN0","SDMMC3_D3","","","",""
"F11","PB7","I/O","","","","TIM17_CH1N","TIM4_CH2","","I2C1_SDA","","I2C4_SDA","USART1_RX","","","SDMMC2_D1","DFSDM1_CKIN5","","DCMI_VSYNC",""
"F12","PB9","I/O","","","HDP_HDP7","TIM17_CH1","TIM4_CH4","DFSDM1_DATIN7","I2C1_SDA","I2S2_WS/SPI2_NSS","I2C4_SDA","SDMMC2_CDIR","UART4_TX","FDCAN1_TX","SDMMC2_D5","SDMMC1_CDIR","SDMMC1_D5","DCMI_D7","LTDC_B7"
"F13","PF2","I/O","","","","","","","I2C2_SMBA","","","","","SDMMC2_D0DIR","SDMMC3_D0DIR","SDMMC1_D0DIR","","",""
"F14","PC10","I/O","","","DEBUG_TRACED2","","","DFSDM1_CKIN5","","","I2S3_CK/SPI3_SCK","USART3_TX","UART4_TX","QUADSPI_BK1_IO1","SAI4_MCLK_B","","SDMMC1_D2","DCMI_D8","LTDC_R2"
"F15","PE4","I/O","","","DEBUG_TRACED1","","SAI1_D2","DFSDM1_DATIN3","TIM15_CH1N","SPI4_NSS","SAI1_FS_A","SDMMC2_CKIN","SDMMC1_CKIN","SDMMC2_D4","","SDMMC1_D4","","DCMI_D4","LTDC_B0"
"F16","VSS","Power","","","","","","","","","","","","","","","","",""
"F17","VDDQ_DDR","Power","","","","","","","","","","","","","","","","",""
"F18","DDR_A7","MonoIO","","","","","","","","","","","","","","","","",""
"F19","DDR_RESETN","MonoIO","","","","","","","","","","","","","","","","",""
"F20","VSS","Power","","","","","","","","","","","","","","","","",""
"F21","DDR_DQ1","MonoIO","","","","","","","","","","","","","","","","",""
"G1","PZ4","I/O","","","","","I2C6_SCL","I2C2_SCL","I2C5_SCL","","I2C4_SCL","","","","","","","",""
"G2","PZ0","I/O","","","","","I2C6_SCL","I2C2_SCL","","I2S1_CK/SPI1_SCK","","USART1_CK","SPI6_SCK","","","","","",""
"G3","PZ6","I/O","","","","","I2C6_SCL","I2C2_SCL","USART1_CK","I2S1_MCK","I2C4_SMBA","USART1_RX","","","","","","",""
"G4","VSS","Power","","","","","","","","","","","","","","","","",""
"G5","PI6","I/O","","","","","","TIM8_CH2","","","","","","","SAI2_SD_A","","","DCMI_D6","LTDC_B6"
"G6","VSS","Power","","","","","","","","","","","","","","","","",""
"G8","VSS","Power","","","","","","","","","","","","","","","","",""
"G10","VSS","Power","","","","","","","","","","","","","","","","",""
"G12","VSS","Power","","","","","","","","","","","","","","","","",""
"G14","VSS","Power","","","","","","","","","","","","","","","","",""
"G16","VDDQ_DDR","Power","","","","","","","","","","","","","","","","",""
"G17","VSS","Power","","","","","","","","","","","","","","","","",""
"G18","DDR_A13","MonoIO","","","","","","","","","","","","","","","","",""
"G19","DDR_DQ7","MonoIO","","","","","","","","","","","","","","","","",""
"G20","DDR_DQM0","MonoIO","","","","","","","","","","","","","","","","",""
"G21","DDR_DQS0N","MonoIO","","","","","","","","","","","","","","","","",""
"G22","DDR_DQS0P","MonoIO","","","","","","","","","","","","","","","","",""
"H1","PI13","I/O","","","DEBUG_TRACED1","","HDP_HDP1","","","","","","","","","","","","LTDC_VSYNC"
"H2","PI12","I/O","","","DEBUG_TRACED0","","HDP_HDP0","","","","","","","","","","","","LTDC_HSYNC"
"H3","PZ7","I/O","","","","","I2C6_SDA","I2C2_SDA","","","","USART1_TX","","","","","","",""
"H4","PZ5","I/O","","","","","I2C6_SDA","I2C2_SDA","I2C5_SDA","","I2C4_SDA","USART1_DE/USART1_RTS","","","","","","",""
"H5","PZ1","I/O","","","","","I2C6_SDA","I2C2_SDA","I2C5_SDA","I2S1_SDI/SPI1_MISO","I2C4_SDA","USART1_RX","SPI6_MISO","","","","","",""
"H6","PJ8","I/O","","","DEBUG_TRACED14","TIM1_CH3N","","TIM8_CH1","","","","","UART8_TX","","","","","","LTDC_G1"
"H7","VSS","Power","","","","","","","","","","","","","","","","",""
"H9","VDDCORE","Power","","","","","","","","","","","","","","","","",""
"H11","VDDCORE","Power","","","","","","","","","","","","","","","","",""
"H13","VDDCORE","Power","","","","","","","","","","","","","","","","",""
"H15","VDDCORE","Power","","","","","","","","","","","","","","","","",""
"H17","VDDQ_DDR","Power","","","","","","","","","","","","","","","","",""
"H18","DDR_A9","MonoIO","","","","","","","","","","","","","","","","",""
"H19","DDR_A5","MonoIO","","","","","","","","","","","","","","","","",""
"H20","DDR_DQ5","MonoIO","","","","","","","","","","","","","","","","",""
"H21","DDR_DQ2","MonoIO","","","","","","","","","","","","","","","","",""
"H22","DDR_DQ6","MonoIO","","","","","","","","","","","","","","","","",""
"J1","PJ3","I/O","","","DEBUG_TRACED11","","","","","","","","","","","","","","LTDC_R4"
"J2","PJ0","I/O","","","DEBUG_TRACED8","","","","","","","","","LTDC_R7","","","","","LTDC_R1"
"J3","PJ10","I/O","","","","TIM1_CH2N","","TIM8_CH2","","SPI5_MOSI","","","","","","","","","LTDC_G3"
"J4","PG12","I/O","","","","LPTIM1_IN1","","","","SPI6_MISO","SAI4_CK2","USART6_DE/USART6_RTS","SPDIFRX_IN1","LTDC_B4","SAI4_SCK_A","ETH1_PHY_INTN","","","LTDC_B1"
"J5","PI9","I/O","","","HDP_HDP1","","","","","","","","UART4_RX","FDCAN1_RX","","","","","LTDC_VSYNC"
"J6","PI4","I/O","","","","","","TIM8_BKIN","","","","","","","SAI2_MCLK_A","","","DCMI_D5","LTDC_B4"
"J8","VDDCORE","Power","","","","","","","","","","","","","","","","",""
"J9","VSS","Power","","","","","","","","","","","","","","","","",""
"J10","VDDCORE","Power","","","","","","","","","","","","","","","","",""
"J11","VSS","Power","","","","","","","","","","","","","","","","",""
"J12","VDDCORE","Power","","","","","","","","","","","","","","","","",""
"J13","VSS","Power","","","","","","","","","","","","","","","","",""
"J14","VDDCORE","Power","","","","","","","","","","","","","","","","",""
"J16","VDDQ_DDR","Power","","","","","","","","","","","","","","","","",""
"J17","VSS","Power","","","","","","","","","","","","","","","","",""
"J18","DDR_A2","MonoIO","","","","","","","","","","","","","","","","",""
"J19","DDR_A3","MonoIO","","","","","","","","","","","","","","","","",""
"J20","VSS","Power","","","","","","","","","","","","","","","","",""
"J21","DDR_DQ4","MonoIO","","","","","","","","","","","","","","","","",""
"K1","PJ5","I/O","","","DEBUG_TRACED2","","HDP_HDP2","","","","","","","","","","","","LTDC_R6"
"K2","PJ4","I/O","","","DEBUG_TRACED12","","","","","","","","","","","","","","LTDC_R5"
"K3","VSS","Power","","","","","","","","","","","","","","","","",""
"K4","PJ2","I/O","","","DEBUG_TRACED10","","","","","","","","","","","","","","LTDC_R3"
"K5","PZ2","I/O","","","","","I2C6_SCL","I2C2_SCL","I2C5_SMBA","I2S1_SDO/SPI1_MOSI","I2C4_SMBA","USART1_TX","SPI6_MOSI","","","","","",""
"K6","PJ11","I/O","","","","TIM1_CH2","","TIM8_CH2N","","SPI5_MISO","","","","","","","","","LTDC_G4"
"K7","VSS","Power","","","","","","","","","","","","","","","","",""
"K9","VDDCORE","Power","","","","","","","","","","","","","","","","",""
"K10","VSS","Power","","","","","","","","","","","","","","","","",""
