"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14"
"A1","VSS","Power","","","","","","","","","","","","","","","","",""
"A2","PH5","I/O","","","","","","","I2C2_SDA","SPI5_NSS","","","","","","","SAI4_SD_B","",""
"A3","PE13","I/O","","","HDP_HDP2","TIM1_CH3","","DFSDM1_CKIN5","","SPI4_MISO","","","","","SAI2_FS_B","","FMC_D10","DCMI_D6","LTDC_DE"
"A4","PE11","I/O","","","","TIM1_CH2","","DFSDM1_CKIN4","","SPI4_NSS","","USART6_CK","","","SAI2_SD_B","","FMC_D8","DCMI_D4","LTDC_G3"
"A5","PF1","I/O","","","","","","","I2C2_SCL","","","","","SDMMC3_CMD","SDMMC3_CDIR","","","",""
"A7","PD5","I/O","","","","","","","","","","USART2_TX","","","SDMMC3_D2","","FMC_NWE","",""
"A8","PA9","I/O","","","","TIM1_CH2","","","I2C3_SMBA","I2S2_CK/SPI2_SCK","","USART1_TX","SDMMC2_CDIR","","SDMMC2_D5","","","DCMI_D0","LTDC_R5"
"A10","PG6","I/O","","","DEBUG_TRACED14","TIM17_BKIN","","","","","","","","","SDMMC2_CMD","","","DCMI_D12","LTDC_R7"
"A11","PB3","I/O","","","DEBUG_TRACED9","TIM2_CH2","","","SAI4_CK1","I2S1_CK/SPI1_SCK","I2S3_CK/SPI3_SCK","","SPI6_SCK","SDMMC2_D2","","","SAI4_MCLK_A","UART7_RX",""
"A13","PA8","I/O","","","RCC_MCO_1","TIM1_CH1","","TIM8_BKIN2","I2C3_SCL","I2S3_SDO/SPI3_MOSI","","USART1_CK","SDMMC2_CKIN","SDMMC2_D4","USB_OTG_HS_SOF","","SAI4_SD_B","UART7_RX","LTDC_R6"
"A14","PF2","I/O","","","","","","","I2C2_SMBA","","","","","SDMMC2_D0DIR","SDMMC3_D0DIR","SDMMC1_D0DIR","","",""
"A16","DNU","MonoIO","","","","","","","","","","","","","","","","",""
"A17","DNU","MonoIO","","","","","","","","","","","","","","","","",""
"A19","JTDO-TRACESWO","MonoIO","","","","","","","","","","","","","","","","",""
"A20","JTDI","MonoIO","","","","","","","","","","","","","","","","",""
"A21","DDR_DQ20","MonoIO","","","","","","","","","","","","","","","","",""
"A22","DDR_DQ23","MonoIO","","","","","","","","","","","","","","","","",""
"A23","VSS","Power","","","","","","","","","","","","","","","","",""
"B1","PH15","I/O","","","","","","TIM8_CH3N","","","","","","","","","","DCMI_D11","LTDC_G4"
"B2","PH12","I/O","","","HDP_HDP2","","TIM5_CH3","","I2C4_SDA","I2C1_SDA","","","","","","","","DCMI_D3","LTDC_R6"
"B3","PH4","I/O","","","","","","","I2C2_SCL","","","","","LTDC_G5","","","","","LTDC_G4"
"B4","PE12","I/O","","","","TIM1_CH3N","","DFSDM1_DATIN5","","SPI4_SCK","","","SDMMC1_D0DIR","","SAI2_SCK_B","","FMC_D9","","LTDC_B4"
"B5","PD10","I/O","","","RTC_REFIN","TIM16_BKIN","","DFSDM1_CKOUT","I2C5_SMBA","I2S3_SDI/SPI3_MISO","SAI3_FS_B","USART3_CK","","","","","FMC_D15","","LTDC_B3"
"B6","PD4","I/O","","","","","","","","","SAI3_FS_A","USART2_DE/USART2_RTS","","","SDMMC3_D1","DFSDM1_CKIN0","FMC_NOE","",""
"B7","PG15","I/O","","","DEBUG_TRACED7","","SAI1_D2","","I2C2_SDA","","SAI1_FS_A","USART6_CTS/USART6_NSS","","","SDMMC3_CK","","","DCMI_D13",""
"B8","PD0","I/O","","","","","I2C6_SDA","DFSDM1_CKIN6","I2C5_SDA","","SAI3_SCK_A","","UART4_RX","FDCAN1_RX","SDMMC3_CMD","DFSDM1_DATIN7","FMC_D2","",""
"B9","PD1","I/O","","","","","I2C6_SCL","DFSDM1_DATIN6","I2C5_SCL","","SAI3_SD_A","","UART4_TX","FDCAN1_TX","SDMMC3_D0","DFSDM1_CKIN7","FMC_D3","",""
"B10","PB9","I/O","","","HDP_HDP7","TIM17_CH1","TIM4_CH4","DFSDM1_DATIN7","I2C1_SDA","I2S2_WS/SPI2_NSS","I2C4_SDA","SDMMC2_CDIR","UART4_TX","FDCAN1_TX","SDMMC2_D5","SDMMC1_CDIR","SDMMC1_D5","DCMI_D7","LTDC_B7"
"B11","PC7","I/O","","","HDP_HDP4","","TIM3_CH2","TIM8_CH2","DFSDM1_DATIN3","","I2S3_MCK","USART6_RX","SDMMC1_D123DIR","SDMMC2_D123DIR","SDMMC2_D7","","SDMMC1_D7","DCMI_D1","LTDC_G6"
"B12","PB15","I/O","","","RTC_REFIN","TIM1_CH3N","TIM12_CH2","TIM8_CH3N","USART1_RX","I2S2_SDO/SPI2_MOSI","DFSDM1_CKIN2","","","SDMMC2_D1","","","","",""
"B13","PB4","I/O","","","DEBUG_TRACED8","TIM16_BKIN","TIM3_CH1","","SAI4_CK2","I2S1_SDI/SPI1_MISO","I2S3_SDI/SPI3_MISO","I2S2_WS/SPI2_NSS","SPI6_MISO","SDMMC2_D3","","","SAI4_SCK_A","UART7_TX",""
"B14","PC6","I/O","","","HDP_HDP1","","TIM3_CH1","TIM8_CH1","DFSDM1_CKIN3","I2S2_MCK","","USART6_TX","SDMMC1_D0DIR","SDMMC2_D0DIR","SDMMC2_D6","","SDMMC1_D6","DCMI_D0","LTDC_HSYNC"
"B15","DNU","MonoIO","","","","","","","","","","","","","","","","",""
"B16","DNU","MonoIO","","","","","","","","","","","","","","","","",""
"B17","DNU","MonoIO","","","","","","","","","","","","","","","","",""
"B18","VDD_Unused","Power","","","","","","","","","","","","","","","","",""
"B19","NJTRST","MonoIO","","","","","","","","","","","","","","","","",""
"B20","JTCK-SWCLK","MonoIO","","","","","","","","","","","","","","","","",""
"B21","DDR_DQ19","MonoIO","","","","","","","","","","","","","","","","",""
"B22","DDR_DQ16","MonoIO","","","","","","","","","","","","","","","","",""
"B23","DDR_DQS2N","MonoIO","","","","","","","","","","","","","","","","",""
"C1","PI0","I/O","","","","","TIM5_CH4","","","I2S2_WS/SPI2_NSS","","","","","","","","DCMI_D13","LTDC_G5"
"C2","PH10","I/O","","","","","TIM5_CH1","","I2C4_SMBA","I2C1_SMBA","","","","","","","","DCMI_D1","LTDC_R4"
"C3","PH14","I/O","","","","","","TIM8_CH2N","","","","","UART4_RX","FDCAN1_RX","","","","DCMI_D4","LTDC_G3"
"C4","PH11","I/O","","","","","TIM5_CH2","","I2C4_SCL","I2C1_SCL","","","","","","","","DCMI_D2","LTDC_R5"
"C5","PH9","I/O","","","","","TIM12_CH2","","I2C3_SMBA","","","","","","","","","DCMI_D0","LTDC_R3"
"C6","PE14","I/O","","","","TIM1_CH4","","","","SPI4_MOSI","","","UART8_DE/UART8_RTS","","SAI2_MCLK_B","SDMMC1_D123DIR","FMC_D11","LTDC_G0","LTDC_CLK"
"C7","VSS","Power","","","","","","","","","","","","","","","","",""
"C8","PE1","I/O","","","","LPTIM1_IN2","","","","I2S2_MCK","SAI3_SD_B","","UART8_TX","","","","","DCMI_D3",""
"C9","PE3","I/O","","","DEBUG_TRACED0","","","","TIM15_BKIN","","SAI1_SD_B","","","SDMMC2_CK","","","","",""
"C10","PE6","I/O","","","DEBUG_TRACED2","TIM1_BKIN2","SAI1_D1","","TIM15_CH2","SPI4_MOSI","SAI1_SD_A","SDMMC2_D0","SDMMC1_D2","","SAI2_MCLK_B","","","DCMI_D7","LTDC_G1"
"C11","PE5","I/O","","","DEBUG_TRACED3","","SAI1_CK2","DFSDM1_CKIN3","TIM15_CH1","SPI4_MISO","SAI1_SCK_A","SDMMC2_D0DIR","SDMMC1_D0DIR","SDMMC2_D6","","SDMMC1_D6","","DCMI_D6","LTDC_G0"
"C12","VSS","Power","","","","","","","","","","","","","","","","",""
"C13","PB14","I/O","","","","TIM1_CH2N","TIM12_CH1","TIM8_CH2N","USART1_TX","I2S2_SDI/SPI2_MISO","DFSDM1_DATIN2","USART3_DE/USART3_RTS","","SDMMC2_D0","","","","",""
"C14","VDDA1V8_Unused","Power","","","","","","","","","","","","","","","","",""
"C15","DNU","MonoIO","","","","","","","","","","","","","","","","",""
"C16","VSS","Power","","","","","","","","","","","","","","","","",""
"C17","VDD1V2_Unused","Power","","","","","","","","","","","","","","","","",""
"C18","VDD1V2_Unused","Power","","","","","","","","","","","","","","","","",""
"C19","PA15","I/O","","","DEBUG_DBTRGI","TIM2_CH1/TIM2_ETR","SAI4_D2","SDMMC1_CDIR","CEC","I2S1_WS/SPI1_NSS","I2S3_WS/SPI3_NSS","SPI6_NSS","UART4_DE/UART4_RTS","SDMMC2_D5","SDMMC2_CDIR","SDMMC1_D5","SAI4_FS_A","UART7_TX","LTDC_R1"
"C20","JTMS-SWDIO","MonoIO","","","","","","","","","","","","","","","","",""
"C21","VSS","Power","","","","","","","","","","","","","","","","",""
"C22","DDR_DQS2P","MonoIO","","","","","","","","","","","","","","","","",""
"C23","DDR_DQM2","MonoIO","","","","","","","","","","","","","","","","",""
"D1","PH13","I/O","","","","","","TIM8_CH1N","","","","","UART4_TX","FDCAN1_TX","","","","","LTDC_G2"
"D2","PD6","I/O","","","","TIM16_CH1N","SAI1_D1","DFSDM1_CKIN4","DFSDM1_DATIN1","I2S3_SDO/SPI3_MOSI","SAI1_SD_A","USART2_RX","","","","","FMC_NWAIT","DCMI_D10","LTDC_B2"
"D3","PE15","I/O","","","HDP_HDP3","TIM1_BKIN","","","TIM15_BKIN","","","USART2_CTS/USART2_NSS","UART8_CTS","","FMC_NCE2","","FMC_D12","","LTDC_R7"
"D4","VSS","Power","","","","","","","","","","","","","","","","",""
"D5","PH8","I/O","","","","","TIM5_ETR","","I2C3_SDA","","","","","","","","","DCMI_HSYNC","LTDC_R2"
"D6","PE0","I/O","","","","LPTIM1_ETR","TIM4_ETR","","LPTIM2_ETR","I2S3_CK/SPI3_SCK","SAI4_MCLK_B","","UART8_RX","","SAI2_MCLK_A","","","DCMI_D2",""
"D7","PF5","I/O","","","","","","","","","","USART2_TX","","SDMMC3_D2","","","","",""
"D8","PF0","I/O","","","","","","","I2C2_SDA","","","","","SDMMC3_D0","SDMMC3_CKIN","","","",""
"D9","PF4","I/O","","","","","","","","","","USART2_RX","","SDMMC3_D1","SDMMC3_D123DIR","","","",""
"D10","PD7","I/O","","","DEBUG_TRACED6","","","DFSDM1_DATIN4","I2C2_SCL","","DFSDM1_CKIN1","USART2_CK","","SPDIFRX_IN0","SDMMC3_D3","","","",""
"D11","PB7","I/O","","","","TIM17_CH1N","TIM4_CH2","","I2C1_SDA","","I2C4_SDA","USART1_RX","","","SDMMC2_D1","DFSDM1_CKIN5","","DCMI_VSYNC",""
"D12","PD2","I/O","","","","","TIM3_ETR","","I2C5_SMBA","","UART4_RX","","UART5_RX","","","","SDMMC1_CMD","DCMI_D11",""
"D13","PC12","I/O","","","DEBUG_TRACECLK","RCC_MCO_2","SAI4_D3","","","","I2S3_SDO/SPI3_MOSI","USART3_CK","UART5_TX","","SAI4_SD_B","","SDMMC1_CK","DCMI_D9",""
"D14","PD3","I/O","","","HDP_HDP5","","","DFSDM1_CKOUT","","I2S2_CK/SPI2_SCK","DFSDM1_DATIN0","USART2_CTS/USART2_NSS","SDMMC1_D123DIR","SDMMC2_D7","SDMMC2_D123DIR","SDMMC1_D7","","DCMI_D5","LTDC_G7"
"D15","PC10","I/O","","","DEBUG_TRACED2","","","DFSDM1_CKIN5","","","I2S3_CK/SPI3_SCK","USART3_TX","UART4_TX","QUADSPI_BK1_IO1","SAI4_MCLK_B","","SDMMC1_D2","DCMI_D8","LTDC_R2"
"D16","PC11","I/O","","","DEBUG_TRACED3","","","DFSDM1_DATIN5","","","I2S3_SDI/SPI3_MISO","USART3_RX","UART4_RX","QUADSPI_BK2_NCS","SAI4_SCK_B","","SDMMC1_D3","DCMI_D4",""
"D17","PC9","I/O","","","DEBUG_TRACED1","","TIM3_CH4","TIM8_CH4","I2C3_SDA","I2S_CKIN","","","UART5_CTS","QUADSPI_BK1_IO0","","","SDMMC1_D1","DCMI_D3","LTDC_B2"
"D18","PC8","I/O","","","DEBUG_TRACED0","","TIM3_CH3","TIM8_CH3","","","UART4_TX","USART6_CK","UART5_DE/UART5_RTS","","","","SDMMC1_D0","DCMI_D2",""
"D19","PE4","I/O","","","DEBUG_TRACED1","","SAI1_D2","DFSDM1_DATIN3","TIM15_CH1N","SPI4_NSS","SAI1_FS_A","SDMMC2_CKIN","SDMMC1_CKIN","SDMMC2_D4","","SDMMC1_D4","","DCMI_D4","LTDC_B0"
"D20","DDR_RESETN","MonoIO","","","","","","","","","","","","","","","","",""
"D21","DDR_DQ22","MonoIO","","","","","","","","","","","","","","","","",""
"D22","DDR_DQ17","MonoIO","","","","","","","","","","","","","","","","",""
"D23","DDR_DQ18","MonoIO","","","","","","","","","","","","","","","","",""
"E1","PI3","I/O","","","","","","TIM8_ETR","","I2S2_SDO/SPI2_MOSI","","","","","","","","DCMI_D10",""
"E2","PI2","I/O","","","","","","TIM8_CH4","","I2S2_SDI/SPI2_MISO","","","","","","","","DCMI_D9","LTDC_G7"
"E3","PI1","I/O","","","","","","TIM8_BKIN2","","I2S2_CK/SPI2_SCK","","","","","","","","DCMI_D8","LTDC_G6"
"E4","PI4","I/O","","","","","","TIM8_BKIN","","","","","","","SAI2_MCLK_A","","","DCMI_D5","LTDC_B4"
"E20","DDR_A7","MonoIO","","","","","","","","","","","","","","","","",""
"E21","DDR_DQ3","MonoIO","","","","","","","","","","","","","","","","",""
"E22","DDR_DQ0","MonoIO","","","","","","","","","","","","","","","","",""
"E23","DDR_DQ21","MonoIO","","","","","","","","","","","","","","","","",""
"F2","PI7","I/O","","","","","","TIM8_CH3","","","","","","","SAI2_FS_A","","","DCMI_D7","LTDC_B7"
"F3","PI5","I/O","","","","","","TIM8_CH1","","","","","","","SAI2_SCK_A","","","DCMI_VSYNC","LTDC_B5"
"F4","PI6","I/O","","","","","","TIM8_CH2","","","","","","","SAI2_SD_A","","","DCMI_D6","LTDC_B6"
"F20","DDR_A13","MonoIO","","","","","","","","","","","","","","","","",""
"F21","VSS","Power","","","","","","","","","","","","","","","","",""
"F22","DDR_DQ1","MonoIO","","","","","","","","","","","","","","","","",""
"G1","PZ1","I/O","","","","","I2C6_SDA","I2C2_SDA","I2C5_SDA","I2S1_SDI/SPI1_MISO","I2C4_SDA","USART1_RX","SPI6_MISO","","","","","",""
"G2","PZ4","I/O","","","","","I2C6_SCL","I2C2_SCL","I2C5_SCL","","I2C4_SCL","","","","","","","",""
"G3","PZ0","I/O","","","","","I2C6_SCL","I2C2_SCL","","I2S1_CK/SPI1_SCK","","USART1_CK","SPI6_SCK","","","","","",""
"G4","PZ3","I/O","","","","","I2C6_SDA","I2C2_SDA","I2C5_SDA","I2S1_WS/SPI1_NSS","I2C4_SDA","USART1_CTS/USART1_NSS","SPI6_NSS","","","","","",""
"G20","DDR_A9","MonoIO","","","","","","","","","","","","","","","","",""
"G21","DDR_DQ7","MonoIO","","","","","","","","","","","","","","","","",""
"G22","DDR_DQS0P","MonoIO","","","","","","","","","","","","","","","","",""
"G23","DDR_DQS0N","MonoIO","","","","","","","","","","","","","","","","",""
"H1","PZ6","I/O","","","","","I2C6_SCL","I2C2_SCL","USART1_CK","I2S1_MCK","I2C4_SMBA","USART1_RX","","","","","","",""
"H2","PZ5","I/O","","","","","I2C6_SDA","I2C2_SDA","I2C5_SDA","","I2C4_SDA","USART1_DE/USART1_RTS","","","","","","",""
"H3","VSS","Power","","","","","","","","","","","","","","","","",""
"H4","PI9","I/O","","","HDP_HDP1","","","","","","","","UART4_RX","FDCAN1_RX","","","","","LTDC_VSYNC"
"H20","DDR_A5","MonoIO","","","","","","","","","","","","","","","","",""
"H21","DDR_DQ2","MonoIO","","","","","","","","","","","","","","","","",""
"H22","DDR_DQ6","MonoIO","","","","","","","","","","","","","","","","",""
"H23","DDR_DQM0","MonoIO","","","","","","","","","","","","","","","","",""
"J2","PD15","I/O","","","","","TIM4_CH4","","","","SAI3_MCLK_A","","UART8_CTS","","","","FMC_D1","","LTDC_R1"
"J3","PZ7","I/O","","","","","I2C6_SDA","I2C2_SDA","","","","USART1_TX","","","","","","",""
"J4","PZ2","I/O","","","","","I2C6_SCL","I2C2_SCL","I2C5_SMBA","I2S1_SDO/SPI1_MOSI","I2C4_SMBA","USART1_TX","SPI6_MOSI","","","","","",""
"J20","DDR_A2","MonoIO","","","","","","","","","","","","","","","","",""
"J21","DDR_DQ4","MonoIO","","","","","","","","","","","","","","","","",""
"J22","DDR_DQ5","MonoIO","","","","","","","","","","","","","","","","",""
"K1","PD9","I/O","","","","","","DFSDM1_DATIN3","","","SAI3_SD_B","USART3_RX","","","","","FMC_D14","DCMI_HSYNC","LTDC_B0"
"K2","PC13","I/O","","","","","","","","","","","","","","","","",""
"K3","PD8","I/O","","","","","","DFSDM1_CKIN3","","","SAI3_SCK_B","USART3_TX","","SPDIFRX_IN1","","","FMC_D13","","LTDC_B7"
"K4","PG12","I/O","","","","LPTIM1_IN1","","","","SPI6_MISO","SAI4_CK2","USART6_DE/USART6_RTS","SPDIFRX_IN1","LTDC_B4","SAI4_SCK_A","ETH1_PHY_INTN","","","LTDC_B1"
"K20","DDR_DTO0","MonoIO","","","","","","","","","","","","","","","","",""
"K21","VSS","Power","","","","","","","","","","","","","","","","",""
"K22","DDR_A3","MonoIO","","","","","","","","","","","","","","","","",""
"K23","DDR_ZQ","MonoIO","","","","","","","","","","","","","","","","",""
"L1","PC15-OSC32_OUT","I/O","","","","","","","","","","","","","","","","",""
"L2","PC14-OSC32_IN","I/O","","","","","","","","","","","","","","","","",""
"L3","PD14","I/O","","","","","TIM4_CH3","","","","SAI3_MCLK_B","","UART8_CTS","","","","FMC_D0","",""
"L4","PI8","I/O","","","","","","","","","","","","","","","","",""
"L20","DDR_A0","MonoIO","","","","","","","","","","","","","","","","",""
"L21","DDR_DTO1","MonoIO","","","","","","","","","","","","","","","","",""
"L22","DDR_ODT","MonoIO","","","","","","","","","","","","","","","","",""
"L23","DDR_BA0","MonoIO","","","","","","","","","","","","","","","","",""
"M2","BOOT2","Boot","","","","","","","","","","","","","","","","",""
"M3","NRST","Reset","","","","","","","","","","","","","","","","",""
"M4","NRST_CORE","Reset","","","","","","","","","","","","","","","","",""
"M20","DDR_WEN","MonoIO","","","","","","","","","","","","","","","","",""
"M21","DDR_BA2","MonoIO","","","","","","","","","","","","","","","","",""
"M22","DDR_CSN","MonoIO","","","","","","","","","","","","","","","","",""
"N1","BOOT0","Boot","","","","","","","","","","","","","","","","",""
"N2","PA13","I/O","","","DEBUG_DBTRGO","DEBUG_DBTRGI","RCC_MCO_1","","","","","","UART4_TX","","","","","",""
"N3","PWR_LP","Power","","","","","","","","","","","","","","","","",""
"N4","BOOT1","Boot","","","","","","","","","","","","","","","","",""
"N20","DDR_CASN","MonoIO","","","","","","","","","","","","","","","","",""
"N21","DDR_RASN","MonoIO","","","","","","","","","","","","","","","","",""
"N22","DDR_CLKP","MonoIO","","","","","","","","","","","","","","","","",""
"N23","DDR_CLKN","MonoIO","","","","","","","","","","","","","","","","",""
"P1","PH0-OSC_IN","I/O","","","","","","","","","","","","","","","","",""
"P2","PH1-OSC_OUT","I/O","","","","","","","","","","","","","","","","",""
"P3","VSS","Power","","","","","","","","","","","","","","","","",""
"P4","PI11","I/O","","","RCC_MCO_1","","","","","I2S_CKIN","","","","LTDC_G6","","","","",""
"P20","DDR_A15","MonoIO","","","","","","","","","","","","","","","","",""
"P21","VSS","Power","","","","","","","","","","","","","","","","",""
"P22","DDR_A1","MonoIO","","","","","","","","","","","","","","","","",""
"P23","DDR_A12","MonoIO","","","","","","","","","","","","","","","","",""
"R2","PWR_ON","Power","","","","","","","","","","","","","","","","",""
"R3","PDR_ON","MonoIO","","","","","","","","","","","","","","","","",""
"R4","VREF+","Power","","","","","","","","","","","","","","","","",""
"R20","DDR_A11","MonoIO","","","","","","","","","","","","","","","","",""
"R21","DDR_A14","MonoIO","","","","","","","","","","","","","","","","",""
"R22","DDR_A10","MonoIO","","","","","","","","","","","","","","","","",""
"T1","PI10","I/O","","","HDP_HDP0","","","","","","","","USART3_CTS/USART3_NSS","","","ETH1_RX_ER","","","LTDC_HSYNC"
"T2","PA14","I/O","","","DEBUG_DBTRGO","DEBUG_DBTRGI","RCC_MCO_2","","","","","","","","","","","",""
"T3","PDR_ON_CORE","MonoIO","","","","","","","","","","","","","","","","",""
"T4","PG3","I/O","","","DEBUG_TRACED3","","","TIM8_BKIN2","DFSDM1_CKIN1","","","","","","","ETH1_TXD7","","",""
"T20","DDR_CKE","MonoIO","","","","","","","","","","","","","","","","",""
"T21","DDR_DQ8","MonoIO","","","","","","","","","","","","","","","","",""
"T22","DDR_DQ10","MonoIO","","","","","","","","","","","","","","","","",""
"T23","DDR_DQ13","MonoIO","","","","","","","","","","","","","","","","",""
"U1","PF3","I/O","","","","","","","","","","","","","","ETH1_TX_ER","","",""
"U2","PA3","I/O","","","","TIM2_CH4","TIM5_CH4","LPTIM5_OUT","TIM15_CH2","","","USART2_RX","","LTDC_B2","","ETH1_COL","","","LTDC_B5"
"U3","ANA0","MonoIO","","","","","","","","","","","","","","","","",""
"U4","ANA1","MonoIO","","","","","","","","","","","","","","","","",""
"U20","DDR_BA1","MonoIO","","","","","","","","","","","","","","","","",""
"U21","DDR_DQ9","MonoIO","","","","","","","","","","","","","","","","",""
"U22","DDR_DQS1P","MonoIO","","","","","","","","","","","","","","","","",""
"U23","DDR_DQS1N","MonoIO","","","","","","","","","","","","","","","","",""
"V2","PG2","I/O","","","DEBUG_TRACED2","RCC_MCO_2","","TIM8_BKIN","","","","","","","","ETH1_TXD6","","",""
