"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14"
"1","VBAT","Power","","","","","","","","","","","","","","","","",""
"2","PC14-OSC32_IN","I/O","","","","","","","","","","","","","","","","",""
"3","PC15-OSC32_OUT","I/O","","","","","","","","","","","","","","","","",""
"4","PH3-BOOT0","I/O","","","RCC_LSCO","","","","","","","","","","","","","",""
"5","PB8","I/O","","","","TIM1_CH2N","","SAI1_CK1","I2C1_SCL","","","","","","QUADSPI_BK1_IO1","LCD_SEG16","","SAI1_MCLK_A","TIM16_CH1"
"6","PB9","I/O","","","","TIM1_CH3N","","SAI1_D2","I2C1_SDA","","","","IR_OUT","","QUADSPI_BK1_IO0","LCD_COM3","","SAI1_FS_A","TIM17_CH1"
"7","NRST","Reset","","","","","","","","","","","","","","","","",""
"8","VDDA","Power","","","","","","","","","","","","","","","","",""
"9","PA0","I/O","","","","TIM2_CH1","","","","","","","","","","","COMP1_OUT","SAI1_EXTCLK","TIM2_ETR"
"10","PA1","I/O","","","","TIM2_CH2","","","I2C1_SMBA","SPI1_SCK","","","","","","LCD_SEG0","","",""
"11","PA2","I/O","","","RCC_LSCO","TIM2_CH3","","","","","","","LPUART1_TX","","QUADSPI_BK1_NCS","LCD_SEG1","COMP2_OUT","",""
"12","PA3","I/O","","","","TIM2_CH4","","SAI1_CK1","","","","","LPUART1_RX","","QUADSPI_CLK","LCD_SEG2","","SAI1_MCLK_A",""
"13","PA4","I/O","","","","","","","","SPI1_NSS","","","","","","LCD_SEG5","","SAI1_FS_B","LPTIM2_OUT"
"14","PA5","I/O","","","","TIM2_CH1","TIM2_ETR","","","SPI1_SCK","","","","","","","","SAI1_SD_B","LPTIM2_ETR"
"15","PA6","I/O","","","","","","","","SPI1_MISO","","","LPUART1_CTS","","QUADSPI_BK1_IO3","LCD_SEG3","TIM1_BKIN","","TIM16_CH1"
"16","PA7","I/O","","","","TIM1_CH1N","","","I2C3_SCL","SPI1_MOSI","","","","","QUADSPI_BK1_IO2","LCD_SEG4","COMP2_OUT","","TIM17_CH1"
"17","PA8","I/O","","","RCC_MCO","TIM1_CH1","","SAI1_CK2","","","","USART1_CK","","","","LCD_COM0","","SAI1_SCK_A","LPTIM2_OUT"
"18","PA9","I/O","","","","TIM1_CH2","","SAI1_D2","I2C1_SCL","","","USART1_TX","","","","LCD_COM1","","SAI1_FS_A",""
"19","PB2","I/O","","","RTC_OUT_ALARM/RTC_OUT_CALIB","LPTIM1_OUT","","","I2C3_SMBA","SPI1_NSS","","","","","","LCD_VLCD","","SAI1_EXTCLK",""
"20","VDD","Power","","","","","","","","","","","","","","","","",""
"21","RF1","MonoIO","","","","","","","","","","","","","","","","",""
"22","VSSRF","Power","","","","","","","","","","","","","","","","",""
"23","VDDRF","Power","","","","","","","","","","","","","","","","",""
"24","OSC_OUT","MonoIO","","","","","","","","","","","","","","","","",""
"25","OSC_IN","MonoIO","","","","","","","","","","","","","","","","",""
"26","AT0","NC","","","","","","","","","","","","","","","","",""
"27","AT1","NC","","","","","","","","","","","","","","","","",""
"28","PB0","I/O","","","","","","","","","","","","","","","COMP1_OUT","",""
"29","PB1","I/O","","","","","","","","","","","LPUART1_DE/LPUART1_RTS","","","","","","LPTIM2_IN1"
"30","PE4","I/O","","","","","","","","","","","","","","","","",""
"31","VFBSMPS","Power","","","","","","","","","","","","","","","","",""
"32","VSSSMPS","Power","","","","","","","","","","","","","","","","",""
"33","VLXSMPS","Power","","","","","","","","","","","","","","","","",""
"34","VDDSMPS","Power","","","","","","","","","","","","","","","","",""
"35","VDD","Power","","","","","","","","","","","","","","","","",""
"36","PA10","I/O","","","","TIM1_CH3","","SAI1_D1","I2C1_SDA","","","USART1_RX","","","CRS_SYNC","LCD_COM2","","SAI1_SD_A","TIM17_BKIN"
"37","PA11","I/O","","","","TIM1_CH4","","","","SPI1_MISO","","USART1_CTS/USART1_NSS","","","USB_DM","","TIM1_BKIN2","",""
"38","PA12","I/O","","","","TIM1_ETR","","","","SPI1_MOSI","","USART1_DE/USART1_RTS","LPUART1_RX","","USB_DP","","","",""
"39","PA13","I/O","","","SYS_JTMS-SWDIO","","","","","","","","IR_OUT","","USB_NOE","","","SAI1_SD_B",""
"40","VDDUSB","Power","","","","","","","","","","","","","","","","",""
"41","PA14","I/O","","","SYS_JTCK-SWCLK","LPTIM1_OUT","","","I2C1_SMBA","","","","","","","LCD_SEG5","","SAI1_FS_B",""
"42","PA15","I/O","","","SYS_JTDI","TIM2_CH1","TIM2_ETR","","","SPI1_NSS","RCC_MCO","","","","","LCD_SEG17","","",""
"43","PB3","I/O","","","SYS_JTDO-SWO","TIM2_CH2","","","","SPI1_SCK","","USART1_DE/USART1_RTS","","","","LCD_SEG7","","SAI1_SCK_B",""
"44","PB4","I/O","","","SYS_JTRST","","","","I2C3_SDA","SPI1_MISO","","USART1_CTS/USART1_NSS","","","","LCD_SEG8","","SAI1_MCLK_B","TIM17_BKIN"
"45","PB5","I/O","","","","LPTIM1_IN1","","","I2C1_SMBA","SPI1_MOSI","","USART1_CK","LPUART1_TX","","","LCD_SEG9","COMP2_OUT","SAI1_SD_B","TIM16_BKIN"
"46","PB6","I/O","","","RCC_MCO","LPTIM1_ETR","","","I2C1_SCL","","","USART1_TX","","","","LCD_SEG6","","SAI1_FS_B","TIM16_CH1N"
"47","PB7","I/O","","","","LPTIM1_IN2","","TIM1_BKIN","I2C1_SDA","","","USART1_RX","","","","LCD_SEG21","","","TIM17_CH1N"
"48","VDD","Power","","","","","","","","","","","","","","","","",""
