"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14"
"1","VBAT","Power","","","","","","","","","","","","","","","","",""
"2","PC13","I/O","","","","","","","","","","","","","","","","",""
"3","PC14-OSC32_IN","I/O","","","","","","","","","","","","","","","","",""
"4","PC15-OSC32_OUT","I/O","","","","","","","","","","","","","","","","",""
"5","PH3-BOOT0","I/O","","","RCC_LSCO","","","","","","","","","","","","","",""
"6","PB8","I/O","","","","TIM1_CH2N","","SAI1_CK1","I2C1_SCL","","","","","","QUADSPI_BK1_IO1","LCD_SEG16","","SAI1_MCLK_A","TIM16_CH1"
"7","PB9","I/O","","","","TIM1_CH3N","","SAI1_D2","I2C1_SDA","SPI2_NSS","","","IR_OUT","","QUADSPI_BK1_IO0","LCD_COM3","","SAI1_FS_A","TIM17_CH1"
"8","NRST","Reset","","","","","","","","","","","","","","","","",""
"9","PC0","I/O","","","","LPTIM1_IN1","","","I2C3_SCL","","","","LPUART1_RX","","","LCD_SEG18","","","LPTIM2_IN1"
"10","PC1","I/O","","","","LPTIM1_OUT","","SPI2_MOSI","I2C3_SDA","","","","LPUART1_TX","","","LCD_SEG19","","",""
"11","PC2","I/O","","","","LPTIM1_IN2","","","","SPI2_MISO","","","","","","LCD_SEG20","","",""
"12","PC3","I/O","","","","LPTIM1_ETR","","SAI1_D1","","SPI2_MOSI","","","","","","LCD_VLCD","","SAI1_SD_A","LPTIM2_ETR"
"13","VREF+","MonoIO","","","","","","","","","","","","","","","","",""
"14","VDDA","Power","","","","","","","","","","","","","","","","",""
"15","PA0","I/O","","","","TIM2_CH1","","","","","","","","","","","COMP1_OUT","SAI1_EXTCLK","TIM2_ETR"
"16","PA1","I/O","","","","TIM2_CH2","","","I2C1_SMBA","SPI1_SCK","","","","","","LCD_SEG0","","",""
"17","PA2","I/O","","","RCC_LSCO","TIM2_CH3","","","","","","","LPUART1_TX","","QUADSPI_BK1_NCS","LCD_SEG1","COMP2_OUT","",""
"18","PA3","I/O","","","","TIM2_CH4","","SAI1_CK1","","","","","LPUART1_RX","","QUADSPI_CLK","LCD_SEG2","","SAI1_MCLK_A",""
"19","PA4","I/O","","","","","","","","SPI1_NSS","","","","","","LCD_SEG5","","SAI1_FS_B","LPTIM2_OUT"
"20","PA5","I/O","","","","TIM2_CH1","TIM2_ETR","","","SPI1_SCK","","","","","","","","SAI1_SD_B","LPTIM2_ETR"
"21","PA6","I/O","","","","","","","","SPI1_MISO","","","LPUART1_CTS","","QUADSPI_BK1_IO3","LCD_SEG3","TIM1_BKIN","","TIM16_CH1"
"22","PA7","I/O","","","","TIM1_CH1N","","","I2C3_SCL","SPI1_MOSI","","","","","QUADSPI_BK1_IO2","LCD_SEG4","COMP2_OUT","","TIM17_CH1"
"23","PA8","I/O","","","RCC_MCO","TIM1_CH1","","SAI1_CK2","","","","USART1_CK","","","","LCD_COM0","","SAI1_SCK_A","LPTIM2_OUT"
"24","PA9","I/O","","","","TIM1_CH2","","SAI1_D2","I2C1_SCL","SPI2_SCK","","USART1_TX","","","","LCD_COM1","","SAI1_FS_A",""
"25","PC4","I/O","","","","","","","","","","","","","","LCD_SEG22","","",""
"26","PC5","I/O","","","","","","SAI1_D3","","","","","","","","LCD_SEG23","","",""
"27","PB2","I/O","","","RTC_OUT_ALARM/RTC_OUT_CALIB","LPTIM1_OUT","","","I2C3_SMBA","SPI1_NSS","","","","","","LCD_VLCD","","SAI1_EXTCLK",""
"28","PB10","I/O","","","","TIM2_CH3","","","I2C3_SCL","SPI2_SCK","","","LPUART1_RX","TSC_SYNC","QUADSPI_CLK","LCD_SEG10","COMP1_OUT","SAI1_SCK_A",""
"29","PB11","I/O","","","","TIM2_CH4","","","I2C3_SDA","","","","LPUART1_TX","","QUADSPI_BK1_NCS","LCD_SEG11","COMP2_OUT","",""
"30","VDD","Power","","","","","","","","","","","","","","","","",""
"31","RF1","MonoIO","","","","","","","","","","","","","","","","",""
"32","VSSRF","Power","","","","","","","","","","","","","","","","",""
"33","VDDRF","Power","","","","","","","","","","","","","","","","",""
"34","OSC_OUT","MonoIO","","","","","","","","","","","","","","","","",""
"35","OSC_IN","MonoIO","","","","","","","","","","","","","","","","",""
"36","AT0","NC","","","","","","","","","","","","","","","","",""
"37","AT1","NC","","","","","","","","","","","","","","","","",""
"38","PB0","I/O","","","","","","","","","","","","","","","COMP1_OUT","",""
"39","PB1","I/O","","","","","","","","","","","LPUART1_DE/LPUART1_RTS","","","","","","LPTIM2_IN1"
"40","PE4","I/O","","","","","","","","","","","","","","","","",""
"41","VFBSMPS","Power","","","","","","","","","","","","","","","","",""
"42","VSSSMPS","Power","","","","","","","","","","","","","","","","",""
"43","VLXSMPS","Power","","","","","","","","","","","","","","","","",""
"44","VDDSMPS","Power","","","","","","","","","","","","","","","","",""
"45","VDD","Power","","","","","","","","","","","","","","","","",""
"46","PB12","I/O","","","","","","TIM1_BKIN","I2C3_SMBA","SPI2_NSS","","","LPUART1_DE/LPUART1_RTS","TSC_G1_IO1","","LCD_SEG12","","SAI1_FS_A",""
"47","PB13","I/O","","","","TIM1_CH1N","","","I2C3_SCL","SPI2_SCK","","","LPUART1_CTS","TSC_G1_IO2","","LCD_SEG13","","SAI1_SCK_A",""
"48","PB14","I/O","","","","TIM1_CH2N","","","I2C3_SDA","SPI2_MISO","","","","TSC_G1_IO3","","LCD_SEG14","","SAI1_MCLK_A",""
"49","PB15","I/O","","","RTC_REFIN","TIM1_CH3N","","","","SPI2_MOSI","","","","TSC_G1_IO4","","LCD_SEG15","","SAI1_SD_A",""
"50","PC6","I/O","","","","","","","","","","","","","","LCD_SEG24","","",""
"51","PA10","I/O","","","","TIM1_CH3","","SAI1_D1","I2C1_SDA","","","USART1_RX","","","CRS_SYNC","LCD_COM2","","SAI1_SD_A","TIM17_BKIN"
"52","PA11","I/O","","","","TIM1_CH4","","","","SPI1_MISO","","USART1_CTS/USART1_NSS","","","USB_DM","","TIM1_BKIN2","",""
"53","PA12","I/O","","","","TIM1_ETR","","","","SPI1_MOSI","","USART1_DE/USART1_RTS","LPUART1_RX","","USB_DP","","","",""
"54","PA13","I/O","","","SYS_JTMS-SWDIO","","","","","","","","IR_OUT","","USB_NOE","","","SAI1_SD_B",""
"55","VDDUSB","Power","","","","","","","","","","","","","","","","",""
"56","PA14","I/O","","","SYS_JTCK-SWCLK","LPTIM1_OUT","","","I2C1_SMBA","","","","","","","LCD_SEG5","","SAI1_FS_B",""
"57","PA15","I/O","","","SYS_JTDI","TIM2_CH1","TIM2_ETR","","","SPI1_NSS","RCC_MCO","","","TSC_G3_IO1","","LCD_SEG17","","",""
"58","PC10","I/O","","","SYS_TRACED1","","","","","","","","","TSC_G3_IO2","","LCD_COM4/LCD_SEG28/LCD_SEG40","","",""
"59","PC11","I/O","","","","","","","","","","","","TSC_G3_IO3","","LCD_COM5/LCD_SEG29/LCD_SEG41","","",""
"60","PC12","I/O","","","SYS_TRACED3","","","","","","","","","TSC_G3_IO4","","LCD_COM6/LCD_SEG30/LCD_SEG42","","",""
"61","PD0","I/O","","","","","","","","SPI2_NSS","","","","","","","","",""
"62","PD1","I/O","","","","","","","","SPI2_SCK","","","","","","","","",""
"63","PB3","I/O","","","SYS_JTDO-SWO","TIM2_CH2","","","","SPI1_SCK","","USART1_DE/USART1_RTS","","","","LCD_SEG7","","SAI1_SCK_B",""
"64","PB4","I/O","","","SYS_JTRST","","","","I2C3_SDA","SPI1_MISO","","USART1_CTS/USART1_NSS","","TSC_G2_IO1","","LCD_SEG8","","SAI1_MCLK_B","TIM17_BKIN"
"65","PB5","I/O","","","","LPTIM1_IN1","","","I2C1_SMBA","SPI1_MOSI","","USART1_CK","LPUART1_TX","TSC_G2_IO2","","LCD_SEG9","COMP2_OUT","SAI1_SD_B","TIM16_BKIN"
"66","PB6","I/O","","","RCC_MCO","LPTIM1_ETR","","","I2C1_SCL","","","USART1_TX","","TSC_G2_IO3","","LCD_SEG6","","SAI1_FS_B","TIM16_CH1N"
