"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14"
"A1","PE1","I/O","","","","","","","","","","","","TSC_G7_IO2","","LCD_SEG37","","","TIM17_CH1"
"A2","PB6","I/O","","","RCC_MCO","LPTIM1_ETR","","","I2C1_SCL","","","USART1_TX","","TSC_G2_IO3","","LCD_SEG6","","SAI1_FS_B","TIM16_CH1N"
"A3","PB5","I/O","","","","LPTIM1_IN1","","","I2C1_SMBA","SPI1_MOSI","","USART1_CK","LPUART1_TX","TSC_G2_IO2","","LCD_SEG9","COMP2_OUT","SAI1_SD_B","TIM16_BKIN"
"A6","PD5","I/O","","","","","","","","","","","","TSC_G5_IO2","QUADSPI_BK1_IO1","","","SAI1_MCLK_B",""
"A7","PD10","I/O","","","","","","","","","","","","TSC_G6_IO1","","LCD_SEG30","","",""
"A8","VDDCAP","Power","","","","","","","","","","","","","","","","",""
"A11","PA13","I/O","","","SYS_JTMS-SWDIO","","","","","","","","IR_OUT","","USB_NOE","","","SAI1_SD_B",""
"A12","VDDUSB","Power","","","","","","","","","","","","","","","","",""
"A13","PA12","I/O","","","","TIM1_ETR","","","","SPI1_MOSI","","USART1_DE/USART1_RTS","LPUART1_RX","","USB_DP","","","",""
"B1","PE2","I/O","","","SYS_TRACECLK","","","SAI1_CK1","","","","","","TSC_G7_IO1","","LCD_SEG38","","SAI1_MCLK_A",""
"B2","PE0","I/O","","","","TIM1_ETR","","","","","","","","TSC_G7_IO3","","LCD_SEG36","","","TIM16_CH1"
"B3","PB4","I/O","","","SYS_JTRST","","","","I2C3_SDA","SPI1_MISO","","USART1_CTS/USART1_NSS","","TSC_G2_IO1","","LCD_SEG8","","SAI1_MCLK_B","TIM17_BKIN"
"B4","PD12","I/O","","","","","","","","","","","","TSC_G6_IO3","","LCD_SEG32","","","LPTIM2_IN1"
"B5","PD11","I/O","","","","","","","","","","","","TSC_G6_IO2","","LCD_SEG31","","","LPTIM2_ETR"
"B6","PD8","I/O","","","","","TIM1_BKIN2","","","","","","","","","LCD_SEG28","","",""
"B7","PD2","I/O","","","SYS_TRACED2","","","","","","","","","TSC_SYNC","","LCD_COM7/LCD_SEG31/LCD_SEG43","","",""
"B8","VSS","Power","","","","","","","","","","","","","","","","",""
