"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14"
"A1","PA11","I/O","","","","TIM1_CH4","","","","SPI1_MISO","","USART1_CTS/USART1_NSS","","","USB_DM","","TIM1_BKIN2","",""
"A2","PA12","I/O","","","","TIM1_ETR","","","","SPI1_MOSI","","USART1_DE/USART1_RTS","LPUART1_RX","","USB_DP","","","",""
"A3","PA14","I/O","","","SYS_JTCK-SWCLK","LPTIM1_OUT","","","I2C1_SMBA","","","","","","","LCD_SEG5","","SAI1_FS_B",""
"A4","PA15","I/O","","","SYS_JTDI","TIM2_CH1","TIM2_ETR","","","SPI1_NSS","RCC_MCO","","","TSC_G3_IO1","","LCD_SEG17","","",""
"A5","PA13","I/O","","","SYS_JTMS-SWDIO","","","","","","","","IR_OUT","","USB_NOE","","","SAI1_SD_B",""
"A6","PC10","I/O","","","SYS_TRACED1","","","","","","","","","TSC_G3_IO2","","LCD_COM4/LCD_SEG28/LCD_SEG40","","",""
"A7","PD2","I/O","","","SYS_TRACED2","","","","","","","","","TSC_SYNC","","LCD_COM7/LCD_SEG31/LCD_SEG43","","",""
"A8","PD7","I/O","","","","","","","","","","","","TSC_G5_IO4","QUADSPI_BK1_IO3","LCD_SEG39","","",""
"A9","PB3","I/O","","","SYS_JTDO-SWO","TIM2_CH2","","","","SPI1_SCK","","USART1_DE/USART1_RTS","","","","LCD_SEG7","","SAI1_SCK_B",""
"A10","VDD","Power","","","","","","","","","","","","","","","","",""
"B1","VDD","Power","","","","","","","","","","","","","","","","",""
"B2","VSS","Power","","","","","","","","","","","","","","","","",""
"B3","VDDUSB","Power","","","","","","","","","","","","","","","","",""
"B4","PC9","I/O","","","","","","TIM1_BKIN","","","","","","TSC_G4_IO4","USB_NOE","LCD_SEG27","","SAI1_SCK_B",""
"B5","PA10","I/O","","","","TIM1_CH3","","SAI1_D1","I2C1_SDA","","","USART1_RX","","","CRS_SYNC","LCD_COM2","","SAI1_SD_A","TIM17_BKIN"
"B6","PC11","I/O","","","","","","","","","","","","TSC_G3_IO3","","LCD_COM5/LCD_SEG29/LCD_SEG41","","",""
"B7","PD5","I/O","","","","","","","","","","","","TSC_G5_IO2","QUADSPI_BK1_IO1","","","SAI1_MCLK_B",""
"B8","PD12","I/O","","","","","","","","","","","","TSC_G6_IO3","","LCD_SEG32","","","LPTIM2_IN1"
"B9","VSS","Power","","","","","","","","","","","","","","","","",""
"B10","PE1","I/O","","","","","","","","","","","","TSC_G7_IO2","","LCD_SEG37","","","TIM17_CH1"
